"","Month","Name","Year","Elevation_ft"
"1","April","Big Hill Dam","2010",858.177666666667
"2","August","Big Hill Dam","2010",857.774838709677
"3","December","Big Hill Dam","2010",856.919032258064
"4","February","Big Hill Dam","2010",858.416785714286
"5","January","Big Hill Dam","2010",858.495161290323
"6","July","Big Hill Dam","2010",858.552258064516
"7","June","Big Hill Dam","2010",858.303333333333
"8","March","Big Hill Dam","2010",858.368064516129
"9","May","Big Hill Dam","2010",858.441612903226
"10","November","Big Hill Dam","2010",857.126333333333
"11","October","Big Hill Dam","2010",857.390967741935
"12","September","Big Hill Dam","2010",857.586333333333
"13","April","Cheney Dam","2010",1421.716
"14","August","Cheney Dam","2010",1421.72225806452
"15","December","Cheney Dam","2010",1421.52903225806
"16","February","Cheney Dam","2010",1421.80214285714
"17","January","Cheney Dam","2010",1421.77516129032
"18","July","Cheney Dam","2010",1425.17806451613
"19","June","Cheney Dam","2010",1422.97266666667
"20","March","Cheney Dam","2010",1421.75064516129
"21","May","Cheney Dam","2010",1421.9464516129
"22","November","Cheney Dam","2010",1421.19166666667
"23","October","Cheney Dam","2010",1421.18838709677
"24","September","Cheney Dam","2010",1421.51666666667
"25","April","Council Grove Dam","2010",1273.38266666667
"26","August","Council Grove Dam","2010",1273.99838709677
"27","December","Council Grove Dam","2010",1274.05516129032
"28","February","Council Grove Dam","2010",1273.06071428571
"29","January","Council Grove Dam","2010",1274.33548387097
"30","July","Council Grove Dam","2010",1276.55774193548
"31","June","Council Grove Dam","2010",1276.35833333333
"32","March","Council Grove Dam","2010",1273.21838709677
"33","May","Council Grove Dam","2010",1274.42096774194
"34","November","Council Grove Dam","2010",1274.03333333333
"35","October","Council Grove Dam","2010",1274.56419354839
"36","September","Council Grove Dam","2010",1274.114
"37","April","El Dorado Dam","2010",1339.07766666667
"38","August","El Dorado Dam","2010",1338.83774193548
"39","December","El Dorado Dam","2010",1337.81193548387
"40","February","El Dorado Dam","2010",1339.20607142857
"41","January","El Dorado Dam","2010",1339.20548387097
"42","July","El Dorado Dam","2010",1340.07387096774
"43","June","El Dorado Dam","2010",1340.564
"44","March","El Dorado Dam","2010",1339.49612903226
"45","May","El Dorado Dam","2010",1339.85387096774
"46","November","El Dorado Dam","2010",1338.10333333333
"47","October","El Dorado Dam","2010",1338.47129032258
"48","September","El Dorado Dam","2010",1338.597
"49","April","Elk City Dam","2010",794.710666666667
"50","August","Elk City Dam","2010",794.642258064516
"51","December","Elk City Dam","2010",795.289032258064
"52","February","Elk City Dam","2010",795.424642857143
"53","January","Elk City Dam","2010",796.585161290323
"54","July","Elk City Dam","2010",805.093870967742
"55","June","Elk City Dam","2010",797.399666666667
"56","March","Elk City Dam","2010",795.731612903226
"57","May","Elk City Dam","2010",795.767419354839
"58","November","Elk City Dam","2010",795.397666666667
"59","October","Elk City Dam","2010",795.5
"60","September","Elk City Dam","2010",795.199
"61","April","Fall River Dam","2010",949.167333333333
"62","August","Fall River Dam","2010",947.733548387097
"63","December","Fall River Dam","2010",946.614838709677
"64","February","Fall River Dam","2010",948.471785714286
"65","January","Fall River Dam","2010",948.154193548387
"66","July","Fall River Dam","2010",957.536129032258
"67","June","Fall River Dam","2010",955.819
"68","March","Fall River Dam","2010",950.511290322581
"69","May","Fall River Dam","2010",949.80064516129
"70","November","Fall River Dam","2010",946.456
"71","October","Fall River Dam","2010",946.467741935484
"72","September","Fall River Dam","2010",947.126333333333
"73","April","John Redmond Dam","2010",1038.34766666667
"74","August","John Redmond Dam","2010",1037.80032258065
"75","December","John Redmond Dam","2010",1038.86516129032
"76","February","John Redmond Dam","2010",1039.22964285714
"77","January","John Redmond Dam","2010",1039.70677419355
"78","July","John Redmond Dam","2010",1047.8435483871
"79","June","John Redmond Dam","2010",1048.63066666667
"80","March","John Redmond Dam","2010",1038.89419354839
"81","May","John Redmond Dam","2010",1041.13967741935
"82","November","John Redmond Dam","2010",1038.74966666667
"83","October","John Redmond Dam","2010",1038.25935483871
"84","September","John Redmond Dam","2010",1037.922
"85","April","Marion Dam","2010",1350.28266666667
"86","August","Marion Dam","2010",1350.20516129032
"87","December","Marion Dam","2010",1348.76387096774
"88","February","Marion Dam","2010",1349.92928571429
"89","January","Marion Dam","2010",1349.73806451613
"90","July","Marion Dam","2010",1351.81161290323
"91","June","Marion Dam","2010",1351.14166666667
"92","March","Marion Dam","2010",1350.21806451613
"93","May","Marion Dam","2010",1350.25032258065
"94","November","Marion Dam","2010",1350.40033333333
"95","October","Marion Dam","2010",1350.73741935484
"96","September","Marion Dam","2010",1350.333
"97","April","Toronto Dam","2010",902.604333333333
"98","August","Toronto Dam","2010",900.937741935484
"99","December","Toronto Dam","2010",899.25
"100","February","Toronto Dam","2010",902.419642857143
"101","January","Toronto Dam","2010",901.587096774194
"102","July","Toronto Dam","2010",905.68935483871
"103","June","Toronto Dam","2010",911.102666666667
"104","March","Toronto Dam","2010",904.886129032258
"105","May","Toronto Dam","2010",904.497096774194
"106","November","Toronto Dam","2010",899.093666666667
"107","October","Toronto Dam","2010",899.379032258065
"108","September","Toronto Dam","2010",900.235
"109","April","Big Hill Dam","2011",858.330333333333
"110","August","Big Hill Dam","2011",856.83064516129
"111","December","Big Hill Dam","2011",857.062258064516
"112","February","Big Hill Dam","2011",856.932857142857
"113","January","Big Hill Dam","2011",856.775483870968
"114","July","Big Hill Dam","2011",857.329677419355
"115","June","Big Hill Dam","2011",857.973333333333
"116","March","Big Hill Dam","2011",858.125806451613
"117","May","Big Hill Dam","2011",858.283548387097
"118","November","Big Hill Dam","2011",856.449333333333
"119","October","Big Hill Dam","2011",855.928064516129
"120","September","Big Hill Dam","2011",856.346
"121","April","Cheney Dam","2011",1421.61566666667
"122","August","Cheney Dam","2011",1419.00129032258
"123","December","Cheney Dam","2011",1416.98161290323
"124","February","Cheney Dam","2011",1421.77678571429
"125","January","Cheney Dam","2011",1421.75709677419
"126","July","Cheney Dam","2011",1419.98516129032
"127","June","Cheney Dam","2011",1420.97966666667
"128","March","Cheney Dam","2011",1421.6964516129
"129","May","Cheney Dam","2011",1421.39064516129
"130","November","Cheney Dam","2011",1416.84733333333
"131","October","Cheney Dam","2011",1417.22580645161
"132","September","Cheney Dam","2011",1417.97733333333
"133","April","Council Grove Dam","2011",1273.587
"134","August","Council Grove Dam","2011",1272.80709677419
"135","December","Council Grove Dam","2011",1271.60129032258
"136","February","Council Grove Dam","2011",1272.77357142857
"137","January","Council Grove Dam","2011",1273.84580645161
"138","July","Council Grove Dam","2011",1273.55225806452
"139","June","Council Grove Dam","2011",1274.194
"140","March","Council Grove Dam","2011",1272.72483870968
"141","May","Council Grove Dam","2011",1274.28387096774
"142","November","Council Grove Dam","2011",1270.85133333333
"143","October","Council Grove Dam","2011",1271.18967741935
"144","September","Council Grove Dam","2011",1271.85666666667
"145","April","El Dorado Dam","2011",1338.37166666667
"146","August","El Dorado Dam","2011",1336.77258064516
"147","December","El Dorado Dam","2011",1335.42838709677
"148","February","El Dorado Dam","2011",1337.62892857143
"149","January","El Dorado Dam","2011",1337.61580645161
"150","July","El Dorado Dam","2011",1337.62129032258
"151","June","El Dorado Dam","2011",1338.34933333333
"152","March","El Dorado Dam","2011",1338.38193548387
"153","May","El Dorado Dam","2011",1338.2664516129
"154","November","El Dorado Dam","2011",1335.168
"155","October","El Dorado Dam","2011",1335.46225806452
"156","September","El Dorado Dam","2011",1336.02066666667
"157","April","Elk City Dam","2011",795.235666666667
"158","August","Elk City Dam","2011",793.75
"159","December","Elk City Dam","2011",795.382580645161
"160","February","Elk City Dam","2011",795.405
"161","January","Elk City Dam","2011",795.24935483871
"162","July","Elk City Dam","2011",794.28
"163","June","Elk City Dam","2011",795.333333333333
"164","March","Elk City Dam","2011",793.681612903226
"165","May","Elk City Dam","2011",796.475161290323
"166","November","Elk City Dam","2011",793.809
"167","October","Elk City Dam","2011",792.598709677419
"168","September","Elk City Dam","2011",793.192333333333
"169","April","Fall River Dam","2011",948.723
"170","August","Fall River Dam","2011",948.256129032258
"171","December","Fall River Dam","2011",948.08
"172","February","Fall River Dam","2011",947.090714285714
"173","January","Fall River Dam","2011",946.670967741935
"174","July","Fall River Dam","2011",949.225806451613
"175","June","Fall River Dam","2011",950.046
"176","March","Fall River Dam","2011",948.852903225806
"177","May","Fall River Dam","2011",949.512903225806
"178","November","Fall River Dam","2011",946.541
"179","October","Fall River Dam","2011",946.762258064516
"180","September","Fall River Dam","2011",947.401333333333
"181","April","John Redmond Dam","2011",1037.989
"182","August","John Redmond Dam","2011",1037.30516129032
"183","December","John Redmond Dam","2011",1036.73419354839
"184","February","John Redmond Dam","2011",1038.66035714286
"185","January","John Redmond Dam","2011",1037.28935483871
"186","July","John Redmond Dam","2011",1037.89
"187","June","John Redmond Dam","2011",1037.88666666667
"188","March","John Redmond Dam","2011",1038.77516129032
"189","May","John Redmond Dam","2011",1037.78161290323
"190","November","John Redmond Dam","2011",1035.35633333333
"191","October","John Redmond Dam","2011",1035.9135483871
"192","September","John Redmond Dam","2011",1036.27866666667
"193","April","Marion Dam","2011",1349.14966666667
"194","August","Marion Dam","2011",1348.02193548387
"195","December","Marion Dam","2011",1347.53322580645
"196","February","Marion Dam","2011",1348.87535714286
"197","January","Marion Dam","2011",1348.63258064516
"198","July","Marion Dam","2011",1348.49419354839
"199","June","Marion Dam","2011",1348.945
"200","March","Marion Dam","2011",1349.13580645161
"201","May","Marion Dam","2011",1348.97032258065
"202","November","Marion Dam","2011",1347.27666666667
"203","October","Marion Dam","2011",1347.37677419355
"204","September","Marion Dam","2011",1347.543
"205","April","Toronto Dam","2011",899.803
"206","August","Toronto Dam","2011",901.199032258065
"207","December","Toronto Dam","2011",901.249032258065
"208","February","Toronto Dam","2011",900.216071428571
"209","January","Toronto Dam","2011",899.138387096774
"210","July","Toronto Dam","2011",902.005483870968
"211","June","Toronto Dam","2011",903.032
"212","March","Toronto Dam","2011",901.262903225806
"213","May","Toronto Dam","2011",901.119032258065
"214","November","Toronto Dam","2011",899.972666666667
"215","October","Toronto Dam","2011",899.997419354839
"216","September","Toronto Dam","2011",900.495333333333
"217","April","Big Hill Dam","2012",858.187666666667
"218","August","Big Hill Dam","2012",856.341612903226
"219","December","Big Hill Dam","2012",855.229677419355
"220","February","Big Hill Dam","2012",857.461379310345
"221","January","Big Hill Dam","2012",857.398709677419
"222","July","Big Hill Dam","2012",857.03
"223","June","Big Hill Dam","2012",857.670333333333
"224","March","Big Hill Dam","2012",858.247419354839
"225","May","Big Hill Dam","2012",858.42935483871
"226","November","Big Hill Dam","2012",855.476333333333
"227","October","Big Hill Dam","2012",855.739032258065
"228","September","Big Hill Dam","2012",856.087
"229","April","Cheney Dam","2012",1419.83533333333
"230","August","Cheney Dam","2012",1416.54
"231","December","Cheney Dam","2012",1413.97903225806
"232","February","Cheney Dam","2012",1418.43724137931
"233","January","Cheney Dam","2012",1417.26096774194
"234","July","Cheney Dam","2012",1417.89225806452
"235","June","Cheney Dam","2012",1419.01133333333
"236","March","Cheney Dam","2012",1419.09774193548
"237","May","Cheney Dam","2012",1419.60741935484
"238","November","Cheney Dam","2012",1414.344
"239","October","Cheney Dam","2012",1414.89548387097
"240","September","Cheney Dam","2012",1415.68966666667
"241","April","Council Grove Dam","2012",1274.082
"242","August","Council Grove Dam","2012",1271.2264516129
"243","December","Council Grove Dam","2012",1268.46161290323
"244","February","Council Grove Dam","2012",1273.33965517241
"245","January","Council Grove Dam","2012",1272.97258064516
"246","July","Council Grove Dam","2012",1272.50612903226
"247","June","Council Grove Dam","2012",1273.55633333333
"248","March","Council Grove Dam","2012",1274.54225806452
"249","May","Council Grove Dam","2012",1274.02548387097
"250","November","Council Grove Dam","2012",1268.943
"251","October","Council Grove Dam","2012",1269.58741935484
"252","September","Council Grove Dam","2012",1270.341
"253","April","El Dorado Dam","2012",1338.87666666667
"254","August","El Dorado Dam","2012",1336.92774193548
"255","December","El Dorado Dam","2012",1335.02741935484
"256","February","El Dorado Dam","2012",1336.54827586207
"257","January","El Dorado Dam","2012",1335.87
"258","July","El Dorado Dam","2012",1337.88709677419
"259","June","El Dorado Dam","2012",1338.631
"260","March","El Dorado Dam","2012",1337.22225806452
"261","May","El Dorado Dam","2012",1339.00774193548
"262","November","El Dorado Dam","2012",1335.431
"263","October","El Dorado Dam","2012",1335.84483870968
"264","September","El Dorado Dam","2012",1336.34333333333
"265","April","Elk City Dam","2012",796.688666666667
"266","August","Elk City Dam","2012",795.246774193548
"267","December","Elk City Dam","2012",793.027096774194
"268","February","Elk City Dam","2012",797.383103448276
"269","January","Elk City Dam","2012",796.951935483871
"270","July","Elk City Dam","2012",796.397419354839
"271","June","Elk City Dam","2012",797.264
"272","March","Elk City Dam","2012",798.797741935484
"273","May","Elk City Dam","2012",803.186129032258
"274","November","Elk City Dam","2012",793.404666666667
"275","October","Elk City Dam","2012",793.989032258065
"276","September","Elk City Dam","2012",794.568333333333
"277","April","Fall River Dam","2012",949.403333333333
"278","August","Fall River Dam","2012",947.647096774194
"279","December","Fall River Dam","2012",946.008387096774
"280","February","Fall River Dam","2012",951.458965517241
"281","January","Fall River Dam","2012",950.094838709677
"282","July","Fall River Dam","2012",948.662580645161
"283","June","Fall River Dam","2012",949.603666666667
"284","March","Fall River Dam","2012",952.301935483871
"285","May","Fall River Dam","2012",949.611935483871
"286","November","Fall River Dam","2012",946.349
"287","October","Fall River Dam","2012",946.574516129032
"288","September","Fall River Dam","2012",946.995666666667
"289","April","John Redmond Dam","2012",1039.264
"290","August","John Redmond Dam","2012",1036.77032258065
"291","December","John Redmond Dam","2012",1035.06870967742
"292","February","John Redmond Dam","2012",1041.68655172414
"293","January","John Redmond Dam","2012",1040.54806451613
"294","July","John Redmond Dam","2012",1038.08161290323
"295","June","John Redmond Dam","2012",1038.561
"296","March","John Redmond Dam","2012",1043.31258064516
"297","May","John Redmond Dam","2012",1038.99451612903
"298","November","John Redmond Dam","2012",1035.14366666667
"299","October","John Redmond Dam","2012",1035.26677419355
"300","September","John Redmond Dam","2012",1035.774
"301","April","Marion Dam","2012",1349.78266666667
"302","August","Marion Dam","2012",1348.20774193548
"303","December","Marion Dam","2012",1346.99096774194
"304","February","Marion Dam","2012",1348.11
"305","January","Marion Dam","2012",1347.85225806452
"306","July","Marion Dam","2012",1348.99741935484
"307","June","Marion Dam","2012",1349.606
"308","March","Marion Dam","2012",1349.05806451613
"309","May","Marion Dam","2012",1349.95967741935
"310","November","Marion Dam","2012",1347.139
"311","October","Marion Dam","2012",1347.41838709677
"312","September","Marion Dam","2012",1347.77233333333
"313","April","Toronto Dam","2012",902.568333333333
"314","August","Toronto Dam","2012",900.67064516129
"315","December","Toronto Dam","2012",899.413548387097
"316","February","Toronto Dam","2012",902.965862068966
"317","January","Toronto Dam","2012",902.20064516129
"318","July","Toronto Dam","2012",901.603870967742
"319","June","Toronto Dam","2012",902.430666666667
"320","March","Toronto Dam","2012",904.802580645161
"321","May","Toronto Dam","2012",902.815161290323
"322","November","Toronto Dam","2012",899.742333333333
"323","October","Toronto Dam","2012",899.996129032258
"324","September","Toronto Dam","2012",900.274333333333
"325","April","Big Hill Dam","2013",856.615666666667
"326","August","Big Hill Dam","2013",858.652258064516
"327","December","Big Hill Dam","2013",858.025806451613
"328","February","Big Hill Dam","2013",855.1775
"329","January","Big Hill Dam","2013",855.054516129032
"330","July","Big Hill Dam","2013",857.573225806452
"331","June","Big Hill Dam","2013",858.524666666667
"332","March","Big Hill Dam","2013",855.730967741936
"333","May","Big Hill Dam","2013",858.516774193548
"334","November","Big Hill Dam","2013",858.261333333333
"335","October","Big Hill Dam","2013",857.543870967742
"336","September","Big Hill Dam","2013",857.669
"337","December","Cedar Bluff Dam","2013",2118.84677419355
"338","November","Cedar Bluff Dam","2013",2119.09821428571
"339","October","Cedar Bluff Dam","2013",2117.02967741935
"340","September","Cedar Bluff Dam","2013",2119.55
"341","April","Cheney Dam","2013",1414.33
"342","August","Cheney Dam","2013",1423.53741935484
"343","December","Cheney Dam","2013",1421.53161290323
"344","February","Cheney Dam","2013",1413.73785714286
"345","January","Cheney Dam","2013",1413.76903225806
"346","July","Cheney Dam","2013",1416.6464516129
"347","June","Cheney Dam","2013",1416.85166666667
"348","March","Cheney Dam","2013",1414.03290322581
"349","May","Cheney Dam","2013",1414.98967741935
"350","November","Cheney Dam","2013",1421.46233333333
"351","October","Cheney Dam","2013",1421.19387096774
"352","September","Cheney Dam","2013",1421.79666666667
"353","December","Clinton Dam","2013",871.45935483871
"354","November","Clinton Dam","2013",871.721071428571
"355","October","Clinton Dam","2013",871.808064516129
"356","September","Clinton Dam","2013",872.05
"357","April","Council Grove Dam","2013",1267.78666666667
"358","August","Council Grove Dam","2013",1275.16419354839
"359","December","Council Grove Dam","2013",1272.90516129032
"360","February","Council Grove Dam","2013",1267.85142857143
"361","January","Council Grove Dam","2013",1268.1135483871
"362","July","Council Grove Dam","2013",1270.62225806452
"363","June","Council Grove Dam","2013",1271.235
"364","March","Council Grove Dam","2013",1267.66935483871
"365","May","Council Grove Dam","2013",1270.68
"366","November","Council Grove Dam","2013",1273.154
"367","October","Council Grove Dam","2013",1273.41741935484
"368","September","Council Grove Dam","2013",1274.08333333333
"369","April","El Dorado Dam","2013",1334.24566666667
"370","August","El Dorado Dam","2013",1340.23419354839
"371","December","El Dorado Dam","2013",1338.90193548387
"372","February","El Dorado Dam","2013",1334.46071428571
"373","January","El Dorado Dam","2013",1334.69161290323
"374","July","El Dorado Dam","2013",1334.51193548387
"375","June","El Dorado Dam","2013",1334.91366666667
"376","March","El Dorado Dam","2013",1334.34548387097
"377","May","El Dorado Dam","2013",1334.61419354839
"378","November","El Dorado Dam","2013",1339.34333333333
"379","October","El Dorado Dam","2013",1338.95709677419
"380","September","El Dorado Dam","2013",1339.377
"381","April","Elk City Dam","2013",796.242333333333
"382","August","Elk City Dam","2013",802.528709677419
"383","December","Elk City Dam","2013",795.787096774194
"384","February","Elk City Dam","2013",793.110357142857
"385","January","Elk City Dam","2013",792.842258064516
"386","July","Elk City Dam","2013",797.886129032258
"387","June","Elk City Dam","2013",800.003666666667
"388","March","Elk City Dam","2013",794.273870967742
"389","May","Elk City Dam","2013",798.052258064516
"390","November","Elk City Dam","2013",797.040333333333
"391","October","Elk City Dam","2013",796.139677419355
"392","September","Elk City Dam","2013",796.579666666667
"393","April","Fall River Dam","2013",947.217666666667
"394","August","Fall River Dam","2013",958.226129032258
"395","December","Fall River Dam","2013",948.811935483871
"396","February","Fall River Dam","2013",945.67
"397","January","Fall River Dam","2013",945.756451612903
"398","July","Fall River Dam","2013",949.771290322581
"399","June","Fall River Dam","2013",951.027666666667
"400","March","Fall River Dam","2013",945.659032258064
"401","May","Fall River Dam","2013",950.753870967742
"402","November","Fall River Dam","2013",950.105333333333
"403","October","Fall River Dam","2013",948.54935483871
"404","September","Fall River Dam","2013",949.092333333333
"405","December","Glen Elder Dam (Waconda Lake)","2013",1452.87612903226
"406","November","Glen Elder Dam (Waconda Lake)","2013",1452.92
"407","October","Glen Elder Dam (Waconda Lake)","2013",1453.02193548387
"408","September","Glen Elder Dam (Waconda Lake)","2013",1453.24
"409","December","Hillsdale Dam","2013",915.177419354839
"410","November","Hillsdale Dam","2013",915.356428571429
"411","October","Hillsdale Dam","2013",914.895483870968
"412","September","Hillsdale Dam","2013",915.15
"413","April","John Redmond Dam","2013",1037.63766666667
"414","August","John Redmond Dam","2013",1058.64225806452
"415","December","John Redmond Dam","2013",1041.84419354839
"416","February","John Redmond Dam","2013",1035.57035714286
"417","January","John Redmond Dam","2013",1035.17032258065
"418","July","John Redmond Dam","2013",1041.35451612903
"419","June","John Redmond Dam","2013",1043.66433333333
"420","March","John Redmond Dam","2013",1036.32612903226
"421","May","John Redmond Dam","2013",1042.59225806452
"422","November","John Redmond Dam","2013",1044.027
"423","October","John Redmond Dam","2013",1041.32612903226
"424","September","John Redmond Dam","2013",1045.97533333333
"425","December","Kanopolis Dam","2013",1463.81322580645
"426","November","Kanopolis Dam","2013",1464.13535714286
"427","October","Kanopolis Dam","2013",1464.70032258065
"428","September","Kanopolis Dam","2013",1465.26
"429","December","Kirwin Dam","2013",1717.78483870968
"430","November","Kirwin Dam","2013",1717.86464285714
"431","October","Kirwin Dam","2013",1717.99741935484
"432","September","Kirwin Dam","2013",1718.18
"433","December","Lovewell Dam","2013",1575.37047619048
"434","November","Lovewell Dam","2013",1572.33944444444
"435","October","Lovewell Dam","2013",1572.37782608696
"436","September","Lovewell Dam","2013",1572.46
"437","April","Marion Dam","2013",1347.17433333333
"438","August","Marion Dam","2013",1353.40548387097
"439","December","Marion Dam","2013",1349.91967741935
"440","February","Marion Dam","2013",1347.02142857143
"441","January","Marion Dam","2013",1346.96870967742
"442","July","Marion Dam","2013",1347.47935483871
"443","June","Marion Dam","2013",1347.63366666667
"444","March","Marion Dam","2013",1347.1035483871
"445","May","Marion Dam","2013",1347.66
"446","November","Marion Dam","2013",1350.016
"447","October","Marion Dam","2013",1350.12290322581
"448","September","Marion Dam","2013",1350.599
"449","December","Melvern Dam","2013",1033.50741935484
"450","November","Melvern Dam","2013",1033.88928571429
"451","October","Melvern Dam","2013",1033.34774193548
"452","September","Melvern Dam","2013",1033.63
"453","December","Milford Dam","2013",1144.62451612903
"454","November","Milford Dam","2013",1146.12733333333
"455","October","Milford Dam","2013",1145.99161290323
"456","September","Milford Dam","2013",1145.93
"457","December","Norton Dam (Keith Sebelius Lake)","2013",12492.8095238095
"458","November","Norton Dam (Keith Sebelius Lake)","2013",12534.7222222222
"459","October","Norton Dam (Keith Sebelius Lake)","2013",12153.1666666667
"460","September","Norton Dam (Keith Sebelius Lake)","2013",12846
"461","December","Perry Dam","2013",892.074516129032
"462","November","Perry Dam","2013",893.211785714286
"463","October","Perry Dam","2013",892.248709677419
"464","September","Perry Dam","2013",892.43
"465","December","Pomona Dam","2013",972.887741935484
"466","November","Pomona Dam","2013",973.192857142857
"467","October","Pomona Dam","2013",972.714838709677
"468","September","Pomona Dam","2013",973.05
"469","April","Toronto Dam","2013",900.634333333333
"470","August","Toronto Dam","2013",915.668064516129
"471","December","Toronto Dam","2013",901.82064516129
"472","February","Toronto Dam","2013",899.165
"473","January","Toronto Dam","2013",899.189677419355
"474","July","Toronto Dam","2013",903.033225806452
"475","June","Toronto Dam","2013",903.982333333333
"476","March","Toronto Dam","2013",899.275806451613
"477","May","Toronto Dam","2013",902.981290322581
"478","November","Toronto Dam","2013",903.114666666667
"479","October","Toronto Dam","2013",901.688387096774
"480","September","Toronto Dam","2013",901.886333333333
"481","December","Tuttle Creek Dam","2013",1076.79096774194
"482","November","Tuttle Creek Dam","2013",1080.4125
"483","October","Tuttle Creek Dam","2013",1079.59967741935
"484","September","Tuttle Creek Dam","2013",1077.18
"485","December","Webster Dam","2013",1869.55870967742
"486","November","Webster Dam","2013",1869.64714285714
"487","October","Webster Dam","2013",1869.74967741935
"488","September","Webster Dam","2013",1869.92
"489","December","Wilson Dam","2013",1510.2735483871
"490","November","Wilson Dam","2013",1510.46821428571
"491","October","Wilson Dam","2013",1510.74709677419
"492","September","Wilson Dam","2013",1511.03
"493","April","Big Hill Dam","2014",857.778
"494","August","Big Hill Dam","2014",857.544516129032
"495","December","Big Hill Dam","2014",857.798064516129
"496","February","Big Hill Dam","2014",857.946071428571
"497","January","Big Hill Dam","2014",858.027096774194
"498","July","Big Hill Dam","2014",858.043225806452
"499","June","Big Hill Dam","2014",858.250333333333
"500","March","Big Hill Dam","2014",857.91
"501","May","Big Hill Dam","2014",857.538709677419
"502","November","Big Hill Dam","2014",857.840666666667
"503","October","Big Hill Dam","2014",858.199032258065
"504","September","Big Hill Dam","2014",857.776
"505","April","Cedar Bluff Dam","2014",2118.30166666667
"506","August","Cedar Bluff Dam","2014",2122.189
"507","December","Cedar Bluff Dam","2014",2121.11666666667
"508","February","Cedar Bluff Dam","2014",2118.6864
"509","January","Cedar Bluff Dam","2014",2118.75258064516
"510","July","Cedar Bluff Dam","2014",2122.48548387097
"511","June","Cedar Bluff Dam","2014",2118.33
"512","March","Cedar Bluff Dam","2014",2118.58827586207
"513","May","Cedar Bluff Dam","2014",2117.91548387097
"514","November","Cedar Bluff Dam","2014",2121.27611111111
"515","October","Cedar Bluff Dam","2014",2121.61916666667
"516","September","Cedar Bluff Dam","2014",2121.87689655172
"517","April","Cheney Dam","2014",1422.00133333333
"518","August","Cheney Dam","2014",1421.74064516129
"519","December","Cheney Dam","2014",1420.09580645161
"520","February","Cheney Dam","2014",1421.99928571429
"521","January","Cheney Dam","2014",1421.75612903226
"522","July","Cheney Dam","2014",1422.34548387097
"523","June","Cheney Dam","2014",1421.89366666667
"524","March","Cheney Dam","2014",1422.2035483871
"525","May","Cheney Dam","2014",1421.71774193548
"526","November","Cheney Dam","2014",1420.06733333333
"527","October","Cheney Dam","2014",1420.4835483871
"528","September","Cheney Dam","2014",1420.987
"529","April","Clinton Dam","2014",871.187
"530","August","Clinton Dam","2014",875.171
"531","December","Clinton Dam","2014",874.377096774194
"532","February","Clinton Dam","2014",871.1968
"533","January","Clinton Dam","2014",871.311290322581
"534","July","Clinton Dam","2014",875.806451612903
"535","June","Clinton Dam","2014",874.265333333333
"536","March","Clinton Dam","2014",871.205333333333
"537","May","Clinton Dam","2014",871.378709677419
"538","November","Clinton Dam","2014",874.415666666667
"539","October","Clinton Dam","2014",874.637741935484
"540","September","Clinton Dam","2014",874.858620689655
"541","April","Council Grove Dam","2014",1272.44933333333
"542","August","Council Grove Dam","2014",1273.08193548387
"543","December","Council Grove Dam","2014",1271.31580645161
"544","February","Council Grove Dam","2014",1272.66571428571
"545","January","Council Grove Dam","2014",1272.76967741935
"546","July","Council Grove Dam","2014",1273.84903225806
"547","June","Council Grove Dam","2014",1273.98266666667
"548","March","Council Grove Dam","2014",1272.63419354839
"549","May","Council Grove Dam","2014",1272.71483870968
"550","November","Council Grove Dam","2014",1271.51133333333
"551","October","Council Grove Dam","2014",1272.09387096774
"552","September","Council Grove Dam","2014",1272.612
"553","April","El Dorado Dam","2014",1338.19033333333
"554","August","El Dorado Dam","2014",1338.61870967742
"555","December","El Dorado Dam","2014",1336.98032258065
"556","February","El Dorado Dam","2014",1331.50357142857
"557","January","El Dorado Dam","2014",1338.77193548387
"558","July","El Dorado Dam","2014",1339.24032258065
"559","June","El Dorado Dam","2014",1339.72033333333
"560","March","El Dorado Dam","2014",1338.48322580645
"561","May","El Dorado Dam","2014",1338.05516129032
"562","November","El Dorado Dam","2014",1337.18
"563","October","El Dorado Dam","2014",1337.59096774194
"564","September","El Dorado Dam","2014",1337.979
"565","April","Elk City Dam","2014",796.309333333333
"566","August","Elk City Dam","2014",796.890322580645
"567","December","Elk City Dam","2014",796.37064516129
"568","February","Elk City Dam","2014",796.351428571429
"569","January","Elk City Dam","2014",795.971935483871
"570","July","Elk City Dam","2014",798.003225806452
"571","June","Elk City Dam","2014",798.146333333333
"572","March","Elk City Dam","2014",796.929677419355
"573","May","Elk City Dam","2014",796.419677419355
"574","November","Elk City Dam","2014",796.159666666667
"575","October","Elk City Dam","2014",796.966774193548
"576","September","Elk City Dam","2014",797.726
"577","April","Fall River Dam","2014",949.016666666667
"578","August","Fall River Dam","2014",949.442258064516
"579","December","Fall River Dam","2014",948.872580645161
"580","February","Fall River Dam","2014",948.800357142857
"581","January","Fall River Dam","2014",948.600967741936
"582","July","Fall River Dam","2014",950.683548387097
"583","June","Fall River Dam","2014",955.592
"584","March","Fall River Dam","2014",949.024193548387
"585","May","Fall River Dam","2014",950.203870967742
"586","November","Fall River Dam","2014",948.722
"587","October","Fall River Dam","2014",948.959677419355
"588","September","Fall River Dam","2014",949.176
"589","April","Glen Elder Dam (Waconda Lake)","2014",1453.02366666667
