"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"39","Kiowa",-102.43,"BRENGAM",2008-01-10,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"40","Kiowa",-102.49,"BRENGAM",2008-04-28,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"41","Kiowa",-102.91,"BRENGAM",2008-10-30,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"42","Kingman",-7.14,"PENALOSA",2008-01-17,373819098154001,95,28,c(-98.261955, 37.640191),"2008","71-0",-98.261955,37.640191,25.90983963,"0-65"
"43","Haskell",-238.24,"Wild Horse Lake",2008-01-15,373929100453601,81,27,c(-100.761438, 37.658774),"2008","287-216",-100.761438,37.658774,205.5494995,"198-262"
"44","Kiowa",-72.04,"HAVILAND NE",2008-01-10,373938099043601,97,27,c(-99.079053, 37.659267),"2008","143-72",-99.079053,37.659267,94.57846832,"66-131"
"45","Kiowa",-73.7,"HAVILAND NE",2008-11-18,373938099043601,97,27,c(-99.079053, 37.659267),"2008","143-72",-99.079053,37.659267,94.57846832,"66-131"
"46","Seward",-251.79,"Plains SW",2008-01-07,371706100432201,175,32,c(-100.725734, 37.28585),"2008","287-216",-100.725734,37.28585,200.6348267,"198-262"
"47","Ford",-154.29,"FORT DODGE SW",2008-01-04,373652099575901,57,28,c(-99.969991, 37.619051),"2008","215-144",-99.969991,37.619051,88.33330536,"66-131"
"48","Ford",-51.37,"BUCKLIN SE",2008-01-07,373644099354101,57,28,c(-99.59493, 37.61657),"2008","71-0",-99.59493,37.61657,15.7140522,"0-65"
"49","Gray",-209.45,"Haggard",2008-01-07,373848100155901,69,28,c(-100.269121, 37.649852),"2008","215-144",-100.269121,37.649852,95.23243713,"66-131"
"50","Pratt",-101.29,"Coats",2008-01-02,373231098480401,151,29,c(-98.803, 37.5428),"2008","143-72",-98.803,37.5428,123.7307281,"66-131"
"51","Pratt",-101.19,"Coats",2008-01-04,373231098480401,151,29,c(-98.803, 37.5428),"2008","143-72",-98.803,37.5428,123.7307281,"66-131"
"52","Pratt",-101.08,"Coats",2008-04-08,373231098480401,151,29,c(-98.803, 37.5428),"2008","143-72",-98.803,37.5428,123.7307281,"66-131"
"53","Pratt",-101.06,"Coats",2008-07-07,373231098480401,151,29,c(-98.803, 37.5428),"2008","143-72",-98.803,37.5428,123.7307281,"66-131"
"54","Pratt",-101.58,"Coats",2008-10-10,373231098480401,151,29,c(-98.803, 37.5428),"2008","143-72",-98.803,37.5428,123.7307281,"66-131"
"55","Grant",-298.3,"Ulysses SW",2008-01-16,373009101234301,67,29,c(-101.394705, 37.503805),"2008","359-288",-101.394705,37.503805,195.8860016,"132-197"
"56","Kiowa",-157.29,"Mullinville",2008-01-15,373038099230801,97,29,c(-99.384835, 37.512637),"2008","215-144",-99.384835,37.512637,30.96618652,"0-65"
"57","Kiowa",-159.55,"Mullinville",2008-04-28,373038099230801,97,29,c(-99.384835, 37.512637),"2008","215-144",-99.384835,37.512637,30.96618652,"0-65"
"58","Stanton",-253.41,"Big Bow",2008-01-07,373031101350901,187,29,c(-101.585947, 37.50809),"2008","287-216",-101.585947,37.50809,157.9047699,"132-197"
"59","Kiowa",-124.81,"Greensburg",2008-01-15,373453099161501,97,28,c(-99.27149, 37.58288),"2008","143-72",-99.27149,37.58288,64.73886108,"0-65"
"60","Kiowa",-126.25,"Greensburg",2008-04-28,373453099161501,97,28,c(-99.27149, 37.58288),"2008","143-72",-99.27149,37.58288,64.73886108,"0-65"
"61","Kiowa",-126.75,"Greensburg",2008-10-30,373453099161501,97,28,c(-99.27149, 37.58288),"2008","143-72",-99.27149,37.58288,64.73886108,"0-65"
"62","Ford",-155,"FORT DODGE SW",2008-01-04,373318099532701,57,29,c(-99.893479, 37.558551),"2008","215-144",-99.893479,37.558551,108.5825348,"66-131"
"63","Ford",-106.31,"BUCKLIN",2008-01-07,373309099384901,57,29,c(-99.645121, 37.556441),"2008","143-72",-99.645121,37.556441,52.66797638,"0-65"
"64","Ford",-106.33,"BUCKLIN",2008-04-28,373309099384901,57,29,c(-99.645121, 37.556441),"2008","143-72",-99.645121,37.556441,52.66797638,"0-65"
"65","Ford",-106.74,"BUCKLIN",2008-10-28,373309099384901,57,29,c(-99.645121, 37.556441),"2008","143-72",-99.645121,37.556441,52.66797638,"0-65"
"66","Gray",-153.09,"Copeland SE",2008-01-08,373358100311001,69,28,c(-100.522752, 37.564683),"2008","215-144",-100.522752,37.564683,169.7614899,"132-197"
"67","Stanton",-273.58,"Johnson West",2008-01-06,373627101492301,187,28,c(-101.8256, 37.60738),"2008","287-216",-101.8256,37.60738,38.82801819,"0-65"
"68","Pratt",-1.55,"Cairo",2008-01-03,373933098353403,151,27,c(-98.592093, 37.660004),"2008","71-0",-98.592093,37.660004,135.794281,"132-197"
"69","Pratt",-1.65,"Cairo",2008-04-08,373933098353403,151,27,c(-98.592093, 37.660004),"2008","71-0",-98.592093,37.660004,135.794281,"132-197"
"70","Pratt",-2.36,"Cairo",2008-07-07,373933098353403,151,27,c(-98.592093, 37.660004),"2008","71-0",-98.592093,37.660004,135.794281,"132-197"
"71","Pratt",-2.15,"Cairo",2008-10-10,373933098353403,151,27,c(-98.592093, 37.660004),"2008","71-0",-98.592093,37.660004,135.794281,"132-197"
"72","Sedgwick",-10.91,"MAIZE",2008-01-14,374740097232803,173,26,c(-97.391528, 37.794409),"2008","71-0",-97.391528,37.794409,65.71052551,"0-65"
"73","Sedgwick",-10.38,"MAIZE",2008-04-10,374740097232803,173,26,c(-97.391528, 37.794409),"2008","71-0",-97.391528,37.794409,65.71052551,"0-65"
"74","Sedgwick",-9.7,"MAIZE",2008-07-18,374740097232803,173,26,c(-97.391528, 37.794409),"2008","71-0",-97.391528,37.794409,65.71052551,"0-65"
"75","Sedgwick",-8.72,"MAIZE",2008-10-10,374740097232803,173,26,c(-97.391528, 37.794409),"2008","71-0",-97.391528,37.794409,65.71052551,"0-65"
"76","Pratt",-59.14,"Coats NE",2008-01-04,374332098461103,151,27,c(-98.771543, 37.726301),"2008","71-0",-98.771543,37.726301,173.4464417,"132-197"
"77","Pratt",-58.41,"Coats NE",2008-04-08,374332098461103,151,27,c(-98.771543, 37.726301),"2008","71-0",-98.771543,37.726301,173.4464417,"132-197"
"78","Pratt",-62.14,"Coats NE",2008-07-07,374332098461103,151,27,c(-98.771543, 37.726301),"2008","71-0",-98.771543,37.726301,173.4464417,"132-197"
