"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Morton",-261.26,"ROLLA SE",2013-01-05,370136101360401,129,35,c(-101.600938, 37.025356),"2013","287-216",-101.600938,37.025356
"2","Seward",-159.19,"Liberal",2013-01-06,370023100550801,175,35,c(-100.917644, 37.005856),"2013","215-144",-100.917644,37.005856
"3","Morton",-117.15,"ELKHART NORTH",2013-01-05,370217101593801,129,35,c(-101.994048, 37.035692),"2013","143-72",-101.994048,37.035692
"4","Cherokee",-93.6,"BAXTER SPRINGS",2013-06-13,370659094403601,21,34,c(-94.674931, 37.117084),"2013","143-72",-94.674931,37.117084
"5","Pratt",-37.62,"Sun City NE",2013-01-08,372902098473802,151,29,c(-98.793447, 37.48398),"2013","71-0",-98.793447,37.48398
"6","Pratt",-37.66,"Sun City NE",2013-04-25,372902098473802,151,29,c(-98.793447, 37.48398),"2013","71-0",-98.793447,37.48398
"7","Pratt",-38.26,"Sun City NE",2013-07-10,372902098473802,151,29,c(-98.793447, 37.48398),"2013","71-0",-98.793447,37.48398
"8","Pratt",-38.38,"Sun City NE",2013-10-07,372902098473802,151,29,c(-98.793447, 37.48398),"2013","71-0",-98.793447,37.48398
"9","Pratt",-37.6,"Sun City NE",2013-01-08,372902098473803,151,29,c(-98.793427, 37.483942),"2013","71-0",-98.793427,37.483942
"10","Pratt",-37.63,"Sun City NE",2013-04-25,372902098473803,151,29,c(-98.793427, 37.483942),"2013","71-0",-98.793427,37.483942
"11","Pratt",-38.19,"Sun City NE",2013-07-10,372902098473803,151,29,c(-98.793427, 37.483942),"2013","71-0",-98.793427,37.483942
"12","Pratt",-38.32,"Sun City NE",2013-10-07,372902098473803,151,29,c(-98.793427, 37.483942),"2013","71-0",-98.793427,37.483942
"13","Haskell",-319.31,"Sublette",2013-01-07,372916100453401,81,29,c(-100.761626, 37.484684),"2013","359-288",-100.761626,37.484684
"14","Seward",-278.83,"Sublette SW",2013-01-05,371641100594601,175,32,c(-100.996843, 37.278474),"2013","287-216",-100.996843,37.278474
"15","Stevens",-252.4,"WOODS",2013-01-05,370958101055501,189,33,c(-101.103341, 37.162395),"2013","287-216",-101.103341,37.162395
"16","Morton",-99.97,"Rolla NE",2013-01-05,371103101334301,129,33,c(-101.563638, 37.184785),"2013","143-72",-101.563638,37.184785
"17","Gray",-277.7,"Copeland SE",2013-01-07,373054100354402,69,29,c(-100.597732, 37.514304),"2013","287-216",-100.597732,37.514304
"18","Morton",-238.36,"Shore Airport SE",2013-01-05,372043101363101,129,31,c(-101.610442, 37.344952),"2013","287-216",-101.610442,37.344952
"19","Ford",-52.99,"Minneola",2013-01-17,372906100072002,57,29,c(-100.123595, 37.487889),"2013","71-0",-100.123595,37.487889
"20","Meade",-102.34,"MEADE NE",2013-01-06,372446100160201,119,30,c(-100.270521, 37.416323),"2013","143-72",-100.270521,37.416323
"21","Sumner",-10.31,"CONWAY SPRINGS",2013-12-10,372317097434801,191,31,c(-97.73014, 37.386712),"2013","71-0",-97.73014,37.386712
"22","Stanton",-153.49,"Saunders",2013-01-05,372840102014101,187,29,c(-102.028654, 37.478867),"2013","215-144",-102.028654,37.478867
"23","Sumner",-18.82,"NORWICH",2013-12-10,372528097455901,191,30,c(-97.769317, 37.421033),"2013","71-0",-97.769317,37.421033
"24","Stanton",-201.11,"RICHFIELD NE",2013-01-05,372556101454002,187,30,c(-101.761947, 37.43234),"2013","215-144",-101.761947,37.43234
"25","Pratt",-55.65,"Isabel",2013-01-08,372818098345503,151,29,c(-98.582033, 37.470795),"2013","71-0",-98.582033,37.470795
"26","Pratt",-55.85,"Isabel",2013-04-25,372818098345503,151,29,c(-98.582033, 37.470795),"2013","71-0",-98.582033,37.470795
"27","Pratt",-56.43,"Isabel",2013-07-10,372818098345503,151,29,c(-98.582033, 37.470795),"2013","71-0",-98.582033,37.470795
"28","Pratt",-56.84,"Isabel",2013-10-07,372818098345503,151,29,c(-98.582033, 37.470795),"2013","71-0",-98.582033,37.470795
"29","Grant",-250.84,"Moscow NW",2013-01-07,372826101125501,67,30,c(-101.216446, 37.474564),"2013","287-216",-101.216446,37.474564
"30","Pratt",-34.02,"Sun City NE",2013-01-17,372838098470601,151,29,c(-98.784215, 37.477647),"2013","71-0",-98.784215,37.477647
"31","Pratt",-6.3,"Cairo",2013-01-25,373905098332501,151,27,c(-98.557288, 37.652069),"2013","71-0",-98.557288,37.652069
"32","Kiowa",-103.6,"BRENGAM",2013-01-14,373612099093801,97,28,c(-99.163669, 37.602918),"2013","143-72",-99.163669,37.602918
"33","Kiowa",-103.42,"BRENGAM",2013-04-29,373612099093801,97,28,c(-99.163669, 37.602918),"2013","143-72",-99.163669,37.602918
"34","Kiowa",-104.8,"BRENGAM",2013-10-21,373612099093801,97,28,c(-99.163669, 37.602918),"2013","143-72",-99.163669,37.602918
"35","Kingman",-10.04,"PENALOSA",2013-01-16,373819098154001,95,28,c(-98.261955, 37.640191),"2013","71-0",-98.261955,37.640191
"36","Kiowa",-73.87,"HAVILAND NE",2013-01-14,373938099043601,97,27,c(-99.079053, 37.659267),"2013","143-72",-99.079053,37.659267
"37","Kiowa",-73.7,"HAVILAND NE",2013-04-29,373938099043601,97,27,c(-99.079053, 37.659267),"2013","143-72",-99.079053,37.659267
"38","Kiowa",-77.7,"HAVILAND NE",2013-10-21,373938099043601,97,27,c(-99.079053, 37.659267),"2013","143-72",-99.079053,37.659267
"39","Seward",-266,"Plains SW",2013-01-06,371706100432201,175,32,c(-100.725734, 37.28585),"2013","287-216",-100.725734,37.28585
"40","Ford",-160.58,"FORT DODGE SW",2013-01-16,373652099575901,57,28,c(-99.969991, 37.619051),"2013","215-144",-99.969991,37.619051
"41","Ford",-56.75,"BUCKLIN SE",2013-01-15,373644099354101,57,28,c(-99.59493, 37.61657),"2013","71-0",-99.59493,37.61657
"42","Pratt",-103.01,"Coats",2013-01-08,373231098480401,151,29,c(-98.803, 37.5428),"2013","143-72",-98.803,37.5428
"43","Pratt",-103.11,"Coats",2013-01-17,373231098480401,151,29,c(-98.803, 37.5428),"2013","143-72",-98.803,37.5428
"44","Pratt",-102.95,"Coats",2013-04-25,373231098480401,151,29,c(-98.803, 37.5428),"2013","143-72",-98.803,37.5428
"45","Pratt",-103.05,"Coats",2013-07-10,373231098480401,151,29,c(-98.803, 37.5428),"2013","143-72",-98.803,37.5428
"46","Pratt",-103.55,"Coats",2013-10-07,373231098480401,151,29,c(-98.803, 37.5428),"2013","143-72",-98.803,37.5428
"47","Grant",-307.9,"Ulysses SW",2013-01-09,373009101234301,67,29,c(-101.394705, 37.503805),"2013","359-288",-101.394705,37.503805
"48","Kiowa",-158.29,"Mullinville",2013-01-15,373038099230801,97,29,c(-99.384835, 37.512637),"2013","215-144",-99.384835,37.512637
"49","Kiowa",-158.61,"Mullinville",2013-04-29,373038099230801,97,29,c(-99.384835, 37.512637),"2013","215-144",-99.384835,37.512637
"50","Stanton",-280.21,"Big Bow",2013-01-05,373031101350901,187,29,c(-101.585947, 37.50809),"2013","287-216",-101.585947,37.50809
"51","Kiowa",-128.21,"Greensburg",2013-01-15,373453099161501,97,28,c(-99.27149, 37.58288),"2013","143-72",-99.27149,37.58288
"52","Kiowa",-128.93,"Greensburg",2013-10-21,373453099161501,97,28,c(-99.27149, 37.58288),"2013","143-72",-99.27149,37.58288
"53","Ford",-159.7,"FORT DODGE SW",2013-01-16,373318099532701,57,29,c(-99.893479, 37.558551),"2013","215-144",-99.893479,37.558551
"54","Ford",-108.71,"BUCKLIN",2013-01-16,373309099384901,57,29,c(-99.645121, 37.556441),"2013","143-72",-99.645121,37.556441
"55","Ford",-109.3,"BUCKLIN",2013-10-28,373309099384901,57,29,c(-99.645121, 37.556441),"2013","143-72",-99.645121,37.556441
"56","Gray",-166.02,"Copeland SE",2013-01-07,373358100311001,69,28,c(-100.522752, 37.564683),"2013","215-144",-100.522752,37.564683
"57","Stanton",-316.39,"Johnson West",2013-01-04,373627101492301,187,28,c(-101.8256, 37.60738),"2013","359-288",-101.8256,37.60738
"58","Pratt",-2.74,"Cairo",2013-01-08,373933098353403,151,27,c(-98.592093, 37.660004),"2013","71-0",-98.592093,37.660004
"59","Pratt",-2.02,"Cairo",2013-04-25,373933098353403,151,27,c(-98.592093, 37.660004),"2013","71-0",-98.592093,37.660004
"60","Pratt",-3.01,"Cairo",2013-07-08,373933098353403,151,27,c(-98.592093, 37.660004),"2013","71-0",-98.592093,37.660004
"61","Pratt",-3.14,"Cairo",2013-10-07,373933098353403,151,27,c(-98.592093, 37.660004),"2013","71-0",-98.592093,37.660004
"62","Sedgwick",-12.79,"MAIZE",2013-01-25,374740097232803,173,26,c(-97.391528, 37.794409),"2013","71-0",-97.391528,37.794409
"63","Sedgwick",-12.53,"MAIZE",2013-04-24,374740097232803,173,26,c(-97.391528, 37.794409),"2013","71-0",-97.391528,37.794409
"64","Sedgwick",-10.52,"MAIZE",2013-08-08,374740097232803,173,26,c(-97.391528, 37.794409),"2013","71-0",-97.391528,37.794409
"65","Sedgwick",-10.76,"MAIZE",2013-10-18,374740097232803,173,26,c(-97.391528, 37.794409),"2013","71-0",-97.391528,37.794409
"66","Pratt",-63.05,"Coats NE",2013-01-09,374332098461103,151,27,c(-98.771543, 37.726301),"2013","71-0",-98.771543,37.726301
"67","Pratt",-62.55,"Coats NE",2013-04-25,374332098461103,151,27,c(-98.771543, 37.726301),"2013","71-0",-98.771543,37.726301
"68","Pratt",-64.77,"Coats NE",2013-07-10,374332098461103,151,27,c(-98.771543, 37.726301),"2013","71-0",-98.771543,37.726301
"69","Pratt",-64.61,"Coats NE",2013-10-08,374332098461103,151,27,c(-98.771543, 37.726301),"2013","71-0",-98.771543,37.726301
"70","Sedgwick",-28.17,"COLWICH",2013-01-25,374738097332202,173,26,c(-97.554982, 37.793876),"2013","71-0",-97.554982,37.793876
"71","Sedgwick",-27.61,"COLWICH",2013-04-24,374738097332202,173,26,c(-97.554982, 37.793876),"2013","71-0",-97.554982,37.793876
"72","Sedgwick",-28.21,"COLWICH",2013-08-06,374738097332202,173,26,c(-97.554982, 37.793876),"2013","71-0",-97.554982,37.793876
"73","Sedgwick",-28,"COLWICH",2013-10-17,374738097332202,173,26,c(-97.554982, 37.793876),"2013","71-0",-97.554982,37.793876
"74","Graham",-80.6,"Studley",2013-01-16,391904100082501,65,9,c(-100.14132, 39.30295),"2013","143-72",-100.14132,39.30295
"75","Graham",-81.22,"Studley",2013-12-17,391904100082501,65,9,c(-100.14132, 39.30295),"2013","143-72",-100.14132,39.30295
"76","Edwards",-53.82,"GREENSBURG NW",2013-01-25,374427099232901,47,26,c(-99.390994, 37.744917),"2013","71-0",-99.390994,37.744917
"77","Kingman",-4.47,"KINGMAN NW",2013-01-23,374123098092701,95,27,c(-98.158527, 37.690176),"2013","71-0",-98.158527,37.690176
"78","Sedgwick",-17.73,"COLWICH",2013-01-25,374829097310802,173,26,c(-97.519017, 37.808708),"2013","71-0",-97.519017,37.808708
"79","Sedgwick",-17.45,"COLWICH",2013-04-24,374829097310802,173,26,c(-97.519017, 37.808708),"2013","71-0",-97.519017,37.808708
"80","Sedgwick",-16.88,"COLWICH",2013-08-07,374829097310802,173,26,c(-97.519017, 37.808708),"2013","71-0",-97.519017,37.808708
"81","Sedgwick",-16.75,"COLWICH",2013-10-17,374829097310802,173,26,c(-97.519017, 37.808708),"2013","71-0",-97.519017,37.808708
"82","Reno",-28.05,"TTuron",2013-01-09,374637098272501,155,26,c(-98.460031, 37.776441),"2013","71-0",-98.460031,37.776441
