"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"1","Morton",-236.43,"ROLLA SE",2003-01-06,370136101360401,129,35,c(-101.600938, 37.025356),"2003","287-216",-101.600938,37.025356,248.9849548,"198-262"
"2","Seward",-146.57,"Liberal",2003-01-09,370023100550801,175,35,c(-100.917644, 37.005856),"2003","215-144",-100.917644,37.005856,479.9810486,"459-525"
"3","Morton",-101.57,"ELKHART NORTH",2003-01-06,370217101593801,129,35,c(-101.994048, 37.035692),"2003","143-72",-101.994048,37.035692,66.13626862,"66-131"
"4","Pratt",-33.32,"Sun City NE",2003-01-14,372902098473802,151,29,c(-98.793447, 37.48398),"2003","71-0",-98.793447,37.48398,119.3940887,"66-131"
"5","Pratt",-33.37,"Sun City NE",2003-04-04,372902098473802,151,29,c(-98.793447, 37.48398),"2003","71-0",-98.793447,37.48398,119.3940887,"66-131"
"6","Pratt",-33.35,"Sun City NE",2003-07-09,372902098473802,151,29,c(-98.793447, 37.48398),"2003","71-0",-98.793447,37.48398,119.3940887,"66-131"
"7","Pratt",-33.72,"Sun City NE",2003-10-10,372902098473802,151,29,c(-98.793447, 37.48398),"2003","71-0",-98.793447,37.48398,119.3940887,"66-131"
"8","Pratt",-33.27,"Sun City NE",2003-01-14,372902098473803,151,29,c(-98.793427, 37.483942),"2003","71-0",-98.793427,37.483942,119.3940887,"66-131"
"9","Pratt",-33.3,"Sun City NE",2003-04-04,372902098473803,151,29,c(-98.793427, 37.483942),"2003","71-0",-98.793427,37.483942,119.3940887,"66-131"
"10","Pratt",-33.22,"Sun City NE",2003-07-09,372902098473803,151,29,c(-98.793427, 37.483942),"2003","71-0",-98.793427,37.483942,119.3940887,"66-131"
"11","Pratt",-33.71,"Sun City NE",2003-10-10,372902098473803,151,29,c(-98.793427, 37.483942),"2003","71-0",-98.793427,37.483942,119.3940887,"66-131"
"12","Seward",-259.57,"Sublette SW",2003-01-09,371641100594601,175,32,c(-100.996843, 37.278474),"2003","287-216",-100.996843,37.278474,202.8879242,"198-262"
"13","Stevens",-208.01,"WOODS",2003-01-10,370958101055501,189,33,c(-101.103341, 37.162395),"2003","215-144",-101.103341,37.162395,321.0385132,"263-328"
"14","Morton",-91.2,"Rolla NE",2003-01-06,371103101334301,129,33,c(-101.563638, 37.184785),"2003","143-72",-101.563638,37.184785,273.7145386,"263-328"
"15","Gray",-240.82,"Copeland SE",2003-01-10,373054100354402,69,29,c(-100.597732, 37.514304),"2003","287-216",-100.597732,37.514304,178.2752533,"132-197"
"16","Morton",-229.63,"Shore Airport SE",2003-01-07,372043101363101,129,31,c(-101.610442, 37.344952),"2003","287-216",-101.610442,37.344952,34.85247421,"0-65"
"17","Stevens",-317.61,"Moscow SE",2003-01-09,372128101065001,189,31,c(-101.113242, 37.358374),"2003","359-288",-101.113242,37.358374,128.8565826,"66-131"
"18","Meade",-56.28,"MEADE NE",2003-01-10,372446100160201,119,30,c(-100.270521, 37.416323),"2003","71-0",-100.270521,37.416323,260.5038452,"198-262"
"19","Stanton",-147.52,"Saunders",2003-01-08,372840102014101,187,29,c(-102.028654, 37.478867),"2003","215-144",-102.028654,37.478867,10,"0-65"
"20","Stanton",-201.69,"RICHFIELD NE",2003-01-09,372556101454002,187,30,c(-101.761947, 37.43234),"2003","215-144",-101.761947,37.43234,10,"0-65"
"21","Pratt",-50.95,"Isabel",2003-01-14,372818098345503,151,29,c(-98.582033, 37.470795),"2003","71-0",-98.582033,37.470795,110.6722717,"66-131"
"22","Pratt",-51.3,"Isabel",2003-04-04,372818098345503,151,29,c(-98.582033, 37.470795),"2003","71-0",-98.582033,37.470795,110.6722717,"66-131"
"23","Pratt",-51.56,"Isabel",2003-07-09,372818098345503,151,29,c(-98.582033, 37.470795),"2003","71-0",-98.582033,37.470795,110.6722717,"66-131"
"24","Pratt",-52.08,"Isabel",2003-10-10,372818098345503,151,29,c(-98.582033, 37.470795),"2003","71-0",-98.582033,37.470795,110.6722717,"66-131"
"25","Grant",-231.53,"Moscow NW",2003-01-07,372826101125501,67,30,c(-101.216446, 37.474564),"2003","287-216",-101.216446,37.474564,227.346344,"198-262"
"26","Pratt",-30.13,"Sun City NE",2003-01-07,372838098470601,151,29,c(-98.784215, 37.477647),"2003","71-0",-98.784215,37.477647,107.6531219,"66-131"
"27","Pratt",-5.02,"Cairo",2003-01-07,373905098332501,151,27,c(-98.557288, 37.652069),"2003","71-0",-98.557288,37.652069,121.8390961,"66-131"
"28","Kiowa",-98.57,"BRENGAM",2003-01-02,373612099093801,97,28,c(-99.163669, 37.602918),"2003","143-72",-99.163669,37.602918,112.3295593,"66-131"
"29","Kingman",-7.38,"PENALOSA",2003-01-09,373819098154001,95,28,c(-98.261955, 37.640191),"2003","71-0",-98.261955,37.640191,25.90983963,"0-65"
"30","Haskell",-235.08,"Wild Horse Lake",2003-01-09,373929100453601,81,27,c(-100.761438, 37.658774),"2003","287-216",-100.761438,37.658774,205.5494995,"198-262"
"31","Kiowa",-68.07,"HAVILAND NE",2003-01-02,373938099043601,97,27,c(-99.079053, 37.659267),"2003","71-0",-99.079053,37.659267,94.57846832,"66-131"
"32","Seward",-242.91,"Plains SW",2003-01-09,371706100432201,175,32,c(-100.725734, 37.28585),"2003","287-216",-100.725734,37.28585,200.6348267,"198-262"
"33","Ford",-150.74,"FORT DODGE SW",2003-01-10,373652099575901,57,28,c(-99.969991, 37.619051),"2003","215-144",-99.969991,37.619051,88.33330536,"66-131"
"34","Ford",-50.22,"BUCKLIN SE",2003-01-11,373644099354101,57,28,c(-99.59493, 37.61657),"2003","71-0",-99.59493,37.61657,15.7140522,"0-65"
"35","Ford",-50.24,"BUCKLIN SE",2003-01-11,373644099354101,57,28,c(-99.59493, 37.61657),"2003","71-0",-99.59493,37.61657,15.7140522,"0-65"
"36","Gray",-201.17,"Haggard",2003-01-10,373848100155901,69,28,c(-100.269121, 37.649852),"2003","215-144",-100.269121,37.649852,95.23243713,"66-131"
"37","Gray",-201.16,"Haggard",2003-01-10,373848100155901,69,28,c(-100.269121, 37.649852),"2003","215-144",-100.269121,37.649852,95.23243713,"66-131"
"38","Sedgwick",-31.3,NA,2003-12-10,373019097221301,173,29,c(-97.3699, 37.5047),"2003","71-0",-97.3699,37.5047,NA,NA
"39","Pratt",-99.77,"Coats",2003-01-14,373231098480401,151,29,c(-98.803, 37.5428),"2003","143-72",-98.803,37.5428,123.7307281,"66-131"
"40","Pratt",-99.77,"Coats",2003-01-16,373231098480401,151,29,c(-98.803, 37.5428),"2003","143-72",-98.803,37.5428,123.7307281,"66-131"
"41","Pratt",-99.65,"Coats",2003-04-04,373231098480401,151,29,c(-98.803, 37.5428),"2003","143-72",-98.803,37.5428,123.7307281,"66-131"
"42","Pratt",-99.61,"Coats",2003-07-09,373231098480401,151,29,c(-98.803, 37.5428),"2003","143-72",-98.803,37.5428,123.7307281,"66-131"
"43","Pratt",-100.37,"Coats",2003-10-10,373231098480401,151,29,c(-98.803, 37.5428),"2003","143-72",-98.803,37.5428,123.7307281,"66-131"
"44","Grant",-313.75,"Ulysses SW",2003-01-06,373009101234301,67,29,c(-101.394705, 37.503805),"2003","359-288",-101.394705,37.503805,195.8860016,"132-197"
"45","Kiowa",-165.68,"Mullinville",2003-01-03,373038099230801,97,29,c(-99.384835, 37.512637),"2003","215-144",-99.384835,37.512637,30.96618652,"0-65"
"46","Stanton",-237.91,"Big Bow",2003-01-09,373031101350901,187,29,c(-101.585947, 37.50809),"2003","287-216",-101.585947,37.50809,157.9047699,"132-197"
"47","Kiowa",-128.8,"Greensburg",2003-01-01,373453099161501,97,28,c(-99.27149, 37.58288),"2003","143-72",-99.27149,37.58288,64.73886108,"0-65"
"48","Ford",-152.15,"FORT DODGE SW",2003-01-10,373318099532701,57,29,c(-99.893479, 37.558551),"2003","215-144",-99.893479,37.558551,108.5825348,"66-131"
"49","Ford",-104.18,"BUCKLIN",2003-01-11,373309099384901,57,29,c(-99.645121, 37.556441),"2003","143-72",-99.645121,37.556441,52.66797638,"0-65"
"50","Pratt",-1.67,"Cairo",2003-01-14,373933098353403,151,27,c(-98.592093, 37.660004),"2003","71-0",-98.592093,37.660004,135.794281,"132-197"
"51","Pratt",-1.2,"Cairo",2003-04-07,373933098353403,151,27,c(-98.592093, 37.660004),"2003","71-0",-98.592093,37.660004,135.794281,"132-197"
"52","Pratt",-2.04,"Cairo",2003-07-08,373933098353403,151,27,c(-98.592093, 37.660004),"2003","71-0",-98.592093,37.660004,135.794281,"132-197"
"53","Pratt",-1.92,"Cairo",2003-10-09,373933098353403,151,27,c(-98.592093, 37.660004),"2003","71-0",-98.592093,37.660004,135.794281,"132-197"
"54","Sedgwick",-11.01,"MAIZE",2003-01-27,374740097232803,173,26,c(-97.391528, 37.794409),"2003","71-0",-97.391528,37.794409,65.71052551,"0-65"
"55","Sedgwick",-10.45,"MAIZE",2003-04-14,374740097232803,173,26,c(-97.391528, 37.794409),"2003","71-0",-97.391528,37.794409,65.71052551,"0-65"
"56","Sedgwick",-11.37,"MAIZE",2003-07-14,374740097232803,173,26,c(-97.391528, 37.794409),"2003","71-0",-97.391528,37.794409,65.71052551,"0-65"
"57","Sedgwick",-9.56,"MAIZE",2003-10-21,374740097232803,173,26,c(-97.391528, 37.794409),"2003","71-0",-97.391528,37.794409,65.71052551,"0-65"
"58","Pratt",-59.18,"Coats NE",2003-01-14,374332098461103,151,27,c(-98.771543, 37.726301),"2003","71-0",-98.771543,37.726301,173.4464417,"132-197"
"59","Pratt",-58.87,"Coats NE",2003-04-04,374332098461103,151,27,c(-98.771543, 37.726301),"2003","71-0",-98.771543,37.726301,173.4464417,"132-197"
"60","Pratt",-62.58,"Coats NE",2003-07-09,374332098461103,151,27,c(-98.771543, 37.726301),"2003","71-0",-98.771543,37.726301,173.4464417,"132-197"
