"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Morton",-212.2,"ROLLA SE",1988-01-25,370136101360401,129,35,c(-101.600938, 37.025356),"1988","215-144",-101.600938,37.025356
"2","Seward",-129.51,"Liberal",1988-01-27,370023100550801,175,35,c(-100.917644, 37.005856),"1988","143-72",-100.917644,37.005856
"3","Morton",-78.42,"ELKHART NORTH",1988-01-26,370217101593801,129,35,c(-101.994048, 37.035692),"1988","143-72",-101.994048,37.035692
"4","Morton",-149.7,NA,1988-01-25,370625102021201,129,34,c(-102.035118, 37.105735),"1988","215-144",-102.035118,37.105735
"5","Stevens",-96.06,NA,1988-01-25,370930101185001,189,33,c(-101.315057, 37.158091),"1988","143-72",-101.315057,37.158091
"6","Pratt",-32.53,"Sun City NE",1988-01-04,372902098473802,151,29,c(-98.793447, 37.48398),"1988","71-0",-98.793447,37.48398
"7","Pratt",-33.32,"Sun City NE",1988-06-27,372902098473802,151,29,c(-98.793447, 37.48398),"1988","71-0",-98.793447,37.48398
"8","Pratt",-33.51,"Sun City NE",1988-10-10,372902098473802,151,29,c(-98.793447, 37.48398),"1988","71-0",-98.793447,37.48398
"9","Pratt",-33.04,"Sun City NE",1988-01-04,372902098473803,151,29,c(-98.793427, 37.483942),"1988","71-0",-98.793427,37.483942
"10","Pratt",-33.29,"Sun City NE",1988-06-27,372902098473803,151,29,c(-98.793427, 37.483942),"1988","71-0",-98.793427,37.483942
"11","Pratt",-33.53,"Sun City NE",1988-10-10,372902098473803,151,29,c(-98.793427, 37.483942),"1988","71-0",-98.793427,37.483942
"12","Seward",-221.63,"Sublette SW",1988-01-27,371641100594601,175,32,c(-100.996843, 37.278474),"1988","287-216",-100.996843,37.278474
"13","Seward",-253.81,NA,1988-01-27,371529101022001,175,32,c(-101.03981, 37.257989),"1988","287-216",-101.03981,37.257989
"14","Stevens",-132.51,"WOODS",1988-01-26,370958101055501,189,33,c(-101.103341, 37.162395),"1988","143-72",-101.103341,37.162395
"15","Morton",-77.47,"Rolla NE",1988-01-25,371103101334301,129,33,c(-101.563638, 37.184785),"1988","143-72",-101.563638,37.184785
"16","Morton",-203.73,"Shore Airport SE",1988-01-25,372043101363101,129,31,c(-101.610442, 37.344952),"1988","215-144",-101.610442,37.344952
"17","Stevens",-290.28,"Moscow SE",1988-01-25,372128101065001,189,31,c(-101.113242, 37.358374),"1988","359-288",-101.113242,37.358374
"18","Meade",-24.73,"MEADE NE",1988-01-06,372446100160201,119,30,c(-100.270521, 37.416323),"1988","71-0",-100.270521,37.416323
