"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Morton",-214.63,"ROLLA SE",1995-01-12,370136101360401,129,35,c(-101.600938, 37.025356),"1995","215-144",-101.600938,37.025356
"2","Seward",-137.45,"Liberal",1995-01-13,370023100550801,175,35,c(-100.917644, 37.005856),"1995","143-72",-100.917644,37.005856
"3","Morton",-92.98,"ELKHART NORTH",1995-01-11,370217101593801,129,35,c(-101.994048, 37.035692),"1995","143-72",-101.994048,37.035692
"4","Morton",-150.52,NA,1995-01-11,370625102021201,129,34,c(-102.035118, 37.105735),"1995","215-144",-102.035118,37.105735
"5","Stevens",-102.95,NA,1995-01-15,370930101185001,189,33,c(-101.315057, 37.158091),"1995","143-72",-101.315057,37.158091
"6","Pratt",-34.45,"Sun City NE",1995-01-17,372902098473802,151,29,c(-98.793447, 37.48398),"1995","71-0",-98.793447,37.48398
"7","Pratt",-34.64,"Sun City NE",1995-04-05,372902098473802,151,29,c(-98.793447, 37.48398),"1995","71-0",-98.793447,37.48398
"8","Pratt",-33.34,"Sun City NE",1995-07-20,372902098473802,151,29,c(-98.793447, 37.48398),"1995","71-0",-98.793447,37.48398
"9","Pratt",-33.3,"Sun City NE",1995-10-06,372902098473802,151,29,c(-98.793447, 37.48398),"1995","71-0",-98.793447,37.48398
"10","Pratt",-34.41,"Sun City NE",1995-01-17,372902098473803,151,29,c(-98.793427, 37.483942),"1995","71-0",-98.793427,37.483942
"11","Pratt",-34.63,"Sun City NE",1995-04-05,372902098473803,151,29,c(-98.793427, 37.483942),"1995","71-0",-98.793427,37.483942
"12","Pratt",-33.19,"Sun City NE",1995-07-20,372902098473803,151,29,c(-98.793427, 37.483942),"1995","71-0",-98.793427,37.483942
"13","Pratt",-33.16,"Sun City NE",1995-10-06,372902098473803,151,29,c(-98.793427, 37.483942),"1995","71-0",-98.793427,37.483942
"14","Seward",-243.97,"Sublette SW",1995-01-13,371641100594601,175,32,c(-100.996843, 37.278474),"1995","287-216",-100.996843,37.278474
"15","Stevens",-149.89,"WOODS",1995-01-15,370958101055501,189,33,c(-101.103341, 37.162395),"1995","215-144",-101.103341,37.162395
"16","Morton",-82.72,"Rolla NE",1995-01-12,371103101334301,129,33,c(-101.563638, 37.184785),"1995","143-72",-101.563638,37.184785
"17","Gray",-216.48,"Copeland SE",1995-01-19,373054100354402,69,29,c(-100.597732, 37.514304),"1995","287-216",-100.597732,37.514304
"18","Morton",-220.67,"Shore Airport SE",1995-01-12,372043101363101,129,31,c(-101.610442, 37.344952),"1995","287-216",-101.610442,37.344952
"19","Stevens",-300.84,"Moscow SE",1995-01-14,372128101065001,189,31,c(-101.113242, 37.358374),"1995","359-288",-101.113242,37.358374
"20","Meade",-35.48,"MEADE NE",1995-01-18,372446100160201,119,30,c(-100.270521, 37.416323),"1995","71-0",-100.270521,37.416323
"21","Meade",-32.37,"MEADE NE",1995-03-16,372446100160201,119,30,c(-100.270521, 37.416323),"1995","71-0",-100.270521,37.416323
"22","Sumner",-9.65,"CONWAY SPRINGS",1995-02-15,372317097434801,191,31,c(-97.73014, 37.386712),"1995","71-0",-97.73014,37.386712
