"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"1","Morton",-228.84,"ROLLA SE",1998-01-07,370136101360401,129,35,c(-101.600938, 37.025356),"1998","287-216",-101.600938,37.025356,248.9849548,"198-262"
"2","Seward",-141.65,"Liberal",1998-01-06,370023100550801,175,35,c(-100.917644, 37.005856),"1998","143-72",-100.917644,37.005856,479.9810486,"459-525"
"3","Morton",-95.89,"ELKHART NORTH",1998-01-07,370217101593801,129,35,c(-101.994048, 37.035692),"1998","143-72",-101.994048,37.035692,66.13626862,"66-131"
"4","Stevens",-187.54,"HUGOTON SW",1998-01-06,370246101261701,189,34,c(-101.438238, 37.046497),"1998","215-144",-101.438238,37.046497,332.7061157,"328-393"
"5","Pratt",-32.3,"Sun City NE",1998-01-09,372902098473802,151,29,c(-98.793447, 37.48398),"1998","71-0",-98.793447,37.48398,119.3940887,"66-131"
"6","Pratt",-32.35,"Sun City NE",1998-04-02,372902098473802,151,29,c(-98.793447, 37.48398),"1998","71-0",-98.793447,37.48398,119.3940887,"66-131"
"7","Pratt",-32.2,"Sun City NE",1998-07-02,372902098473802,151,29,c(-98.793447, 37.48398),"1998","71-0",-98.793447,37.48398,119.3940887,"66-131"
"8","Pratt",-32.41,"Sun City NE",1998-10-06,372902098473802,151,29,c(-98.793447, 37.48398),"1998","71-0",-98.793447,37.48398,119.3940887,"66-131"
"9","Pratt",-32.38,"Sun City NE",1998-01-09,372902098473803,151,29,c(-98.793427, 37.483942),"1998","71-0",-98.793427,37.483942,119.3940887,"66-131"
"10","Pratt",-32.19,"Sun City NE",1998-04-02,372902098473803,151,29,c(-98.793427, 37.483942),"1998","71-0",-98.793427,37.483942,119.3940887,"66-131"
"11","Pratt",-32.09,"Sun City NE",1998-07-02,372902098473803,151,29,c(-98.793427, 37.483942),"1998","71-0",-98.793427,37.483942,119.3940887,"66-131"
"12","Pratt",-32.35,"Sun City NE",1998-10-06,372902098473803,151,29,c(-98.793427, 37.483942),"1998","71-0",-98.793427,37.483942,119.3940887,"66-131"
"13","Seward",-249.9,"Sublette SW",1998-01-06,371641100594601,175,32,c(-100.996843, 37.278474),"1998","287-216",-100.996843,37.278474,202.8879242,"198-262"
"14","Stevens",-165.78,"WOODS",1998-01-27,370958101055501,189,33,c(-101.103341, 37.162395),"1998","215-144",-101.103341,37.162395,321.0385132,"263-328"
"15","Morton",-86.36,"Rolla NE",1998-01-07,371103101334301,129,33,c(-101.563638, 37.184785),"1998","143-72",-101.563638,37.184785,273.7145386,"263-328"
"16","Gray",-224.16,"Copeland SE",1998-01-07,373054100354402,69,29,c(-100.597732, 37.514304),"1998","287-216",-100.597732,37.514304,178.2752533,"132-197"
"17","Morton",-225.05,"Shore Airport SE",1998-01-08,372043101363101,129,31,c(-101.610442, 37.344952),"1998","287-216",-101.610442,37.344952,34.85247421,"0-65"
"18","Stevens",-306.63,"Moscow SE",1998-01-06,372128101065001,189,31,c(-101.113242, 37.358374),"1998","359-288",-101.113242,37.358374,128.8565826,"66-131"
"19","Meade",-35.64,"MEADE NE",1998-01-07,372446100160201,119,30,c(-100.270521, 37.416323),"1998","71-0",-100.270521,37.416323,260.5038452,"198-262"
"20","Stanton",-127.42,"Saunders",1998-01-07,372840102014101,187,29,c(-102.028654, 37.478867),"1998","143-72",-102.028654,37.478867,10,"0-65"
"21","Stanton",-199.72,"RICHFIELD NE",1998-01-07,372556101454002,187,30,c(-101.761947, 37.43234),"1998","215-144",-101.761947,37.43234,10,"0-65"
"22","Pratt",-53.55,"Isabel",1998-01-09,372818098345503,151,29,c(-98.582033, 37.470795),"1998","71-0",-98.582033,37.470795,110.6722717,"66-131"
"23","Pratt",-53.1,"Isabel",1998-04-02,372818098345503,151,29,c(-98.582033, 37.470795),"1998","71-0",-98.582033,37.470795,110.6722717,"66-131"
"24","Pratt",-53.34,"Isabel",1998-07-02,372818098345503,151,29,c(-98.582033, 37.470795),"1998","71-0",-98.582033,37.470795,110.6722717,"66-131"
"25","Pratt",-52.97,"Isabel",1998-10-06,372818098345503,151,29,c(-98.582033, 37.470795),"1998","71-0",-98.582033,37.470795,110.6722717,"66-131"
"26","Grant",-224.76,"Moscow NW",1998-01-08,372826101125501,67,30,c(-101.216446, 37.474564),"1998","287-216",-101.216446,37.474564,227.346344,"198-262"
"27","Haskell",-357.46,NA,1998-01-30,372819101003001,81,30,c(-101.007926, 37.472125),"1998","359-288",-101.007926,37.472125,185.7352448,"132-197"
"28","Pratt",-28.71,"Sun City NE",1998-01-12,372838098470601,151,29,c(-98.784215, 37.477647),"1998","71-0",-98.784215,37.477647,107.6531219,"66-131"
"29","Pratt",-3.99,"Cairo",1998-01-13,373905098332501,151,27,c(-98.557288, 37.652069),"1998","71-0",-98.557288,37.652069,121.8390961,"66-131"
"30","Kiowa",-99.62,"BRENGAM",1998-01-13,373612099093801,97,28,c(-99.163669, 37.602918),"1998","143-72",-99.163669,37.602918,112.3295593,"66-131"
"31","Kingman",-6.72,"PENALOSA",1998-01-14,373819098154001,95,28,c(-98.261955, 37.640191),"1998","71-0",-98.261955,37.640191,25.90983963,"0-65"
"32","Haskell",-234.89,"Wild Horse Lake",1998-01-05,373929100453601,81,27,c(-100.761438, 37.658774),"1998","287-216",-100.761438,37.658774,205.5494995,"198-262"
"33","Kiowa",-67.31,"HAVILAND NE",1998-01-12,373938099043601,97,27,c(-99.079053, 37.659267),"1998","71-0",-99.079053,37.659267,94.57846832,"66-131"
"34","Seward",-234.08,"Plains SW",1998-01-06,371706100432201,175,32,c(-100.725734, 37.28585),"1998","287-216",-100.725734,37.28585,200.6348267,"198-262"
"35","Ford",-147.62,"FORT DODGE SW",1998-01-08,373652099575901,57,28,c(-99.969991, 37.619051),"1998","215-144",-99.969991,37.619051,88.33330536,"66-131"
"36","Ford",-147.44,"FORT DODGE SW",1998-01-25,373652099575901,57,28,c(-99.969991, 37.619051),"1998","215-144",-99.969991,37.619051,88.33330536,"66-131"
"37","Ford",-46.03,"BUCKLIN SE",1998-01-08,373644099354101,57,28,c(-99.59493, 37.61657),"1998","71-0",-99.59493,37.61657,15.7140522,"0-65"
"38","Gray",-195.35,"Haggard",1998-01-07,373848100155901,69,28,c(-100.269121, 37.649852),"1998","215-144",-100.269121,37.649852,95.23243713,"66-131"
"39","Sedgwick",-23.88,NA,1998-03-26,373019097221301,173,29,c(-97.3699, 37.5047),"1998","71-0",-97.3699,37.5047,NA,NA
"40","Sedgwick",-31.19,NA,1998-06-17,373019097221301,173,29,c(-97.3699, 37.5047),"1998","71-0",-97.3699,37.5047,NA,NA
"41","Sedgwick",-32.61,NA,1998-09-30,373019097221301,173,29,c(-97.3699, 37.5047),"1998","71-0",-97.3699,37.5047,NA,NA
"42","Sedgwick",-32.13,NA,1998-12-08,373019097221301,173,29,c(-97.3699, 37.5047),"1998","71-0",-97.3699,37.5047,NA,NA
"43","Pratt",-99.14,"Coats",1998-01-09,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"44","Pratt",-99.11,"Coats",1998-02-03,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"45","Pratt",-99.04,"Coats",1998-03-02,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"46","Pratt",-98.98,"Coats",1998-04-02,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"47","Pratt",-98.92,"Coats",1998-05-04,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"48","Pratt",-98.89,"Coats",1998-06-03,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"49","Pratt",-98.84,"Coats",1998-07-02,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"50","Pratt",-98.97,"Coats",1998-08-05,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"51","Pratt",-99.01,"Coats",1998-09-02,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"52","Pratt",-99.08,"Coats",1998-10-07,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"53","Pratt",-99.14,"Coats",1998-11-10,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"54","Pratt",-99.1,"Coats",1998-12-03,373231098480401,151,29,c(-98.803, 37.5428),"1998","143-72",-98.803,37.5428,123.7307281,"66-131"
"55","Grant",-290.75,"Ulysses SW",1998-01-09,373009101234301,67,29,c(-101.394705, 37.503805),"1998","359-288",-101.394705,37.503805,195.8860016,"132-197"
"56","Kiowa",-157.4,"Mullinville",1998-01-12,373038099230801,97,29,c(-99.384835, 37.512637),"1998","215-144",-99.384835,37.512637,30.96618652,"0-65"
"57","Stanton",-219.92,"Big Bow",1998-01-07,373031101350901,187,29,c(-101.585947, 37.50809),"1998","287-216",-101.585947,37.50809,157.9047699,"132-197"
"58","Kiowa",-122.8,"Greensburg",1998-01-01,373453099161501,97,28,c(-99.27149, 37.58288),"1998","143-72",-99.27149,37.58288,64.73886108,"0-65"
"59","Kiowa",-122.7,"Greensburg",1998-04-01,373453099161501,97,28,c(-99.27149, 37.58288),"1998","143-72",-99.27149,37.58288,64.73886108,"0-65"
"60","Gray",-135,"MONTEZUMA",1998-01-07,373247100283801,69,29,c(-100.479228, 37.547523),"1998","143-72",-100.479228,37.547523,117.9030609,"66-131"
"61","Ford",-149.74,"FORT DODGE SW",1998-01-08,373318099532701,57,29,c(-99.893479, 37.558551),"1998","215-144",-99.893479,37.558551,108.5825348,"66-131"
"62","Ford",-102.75,"BUCKLIN",1998-01-08,373309099384901,57,29,c(-99.645121, 37.556441),"1998","143-72",-99.645121,37.556441,52.66797638,"0-65"
"63","Ford",-102.3,"BUCKLIN",1998-04-01,373309099384901,57,29,c(-99.645121, 37.556441),"1998","143-72",-99.645121,37.556441,52.66797638,"0-65"
"64","Pratt",-0.71,"Cairo",1998-01-09,373933098353403,151,27,c(-98.592093, 37.660004),"1998","71-0",-98.592093,37.660004,135.794281,"132-197"
"65","Pratt",-0.41,"Cairo",1998-04-06,373933098353403,151,27,c(-98.592093, 37.660004),"1998","71-0",-98.592093,37.660004,135.794281,"132-197"
"66","Pratt",-1.8,"Cairo",1998-07-03,373933098353403,151,27,c(-98.592093, 37.660004),"1998","71-0",-98.592093,37.660004,135.794281,"132-197"
"67","Pratt",-1.82,"Cairo",1998-10-07,373933098353403,151,27,c(-98.592093, 37.660004),"1998","71-0",-98.592093,37.660004,135.794281,"132-197"
"68","Kingman",-14.9,NA,1998-01-14,374050097491601,95,27,c(-97.819863, 37.677046),"1998","71-0",-97.819863,37.677046,25,"0-65"
"69","Stanton",-262.27,"JOHNSON NW",1998-01-07,374355101592201,187,27,c(-101.989906, 37.732091),"1998","287-216",-101.989906,37.732091,32.08045959,"0-65"
"70","Sedgwick",-9.87,"MAIZE",1998-01-26,374740097232803,173,26,c(-97.391528, 37.794409),"1998","71-0",-97.391528,37.794409,65.71052551,"0-65"
"71","Sedgwick",-9.1,"MAIZE",1998-04-20,374740097232803,173,26,c(-97.391528, 37.794409),"1998","71-0",-97.391528,37.794409,65.71052551,"0-65"
"72","Sedgwick",-10.63,"MAIZE",1998-07-20,374740097232803,173,26,c(-97.391528, 37.794409),"1998","71-0",-97.391528,37.794409,65.71052551,"0-65"
"73","Sedgwick",-10.95,"MAIZE",1998-10-27,374740097232803,173,26,c(-97.391528, 37.794409),"1998","71-0",-97.391528,37.794409,65.71052551,"0-65"
"74","Sedgwick",-8.7,"MAIZE",1998-12-02,374740097232803,173,26,c(-97.391528, 37.794409),"1998","71-0",-97.391528,37.794409,65.71052551,"0-65"
"75","Reno",-19.9,NA,1998-01-09,374735098170001,155,26,c(-98.285854, 37.793534),"1998","71-0",-98.285854,37.793534,56.92203522,"0-65"
"76","Pratt",-59.12,"Coats NE",1998-01-06,374332098461103,151,27,c(-98.771543, 37.726301),"1998","71-0",-98.771543,37.726301,173.4464417,"132-197"
"77","Pratt",-58.23,"Coats NE",1998-04-06,374332098461103,151,27,c(-98.771543, 37.726301),"1998","71-0",-98.771543,37.726301,173.4464417,"132-197"
"78","Pratt",-61.43,"Coats NE",1998-07-03,374332098461103,151,27,c(-98.771543, 37.726301),"1998","71-0",-98.771543,37.726301,173.4464417,"132-197"
"79","Pratt",-60.15,"Coats NE",1998-10-07,374332098461103,151,27,c(-98.771543, 37.726301),"1998","71-0",-98.771543,37.726301,173.4464417,"132-197"
"80","Sedgwick",-25.04,"COLWICH",1998-01-26,374738097332202,173,26,c(-97.554982, 37.793876),"1998","71-0",-97.554982,37.793876,174.1762085,"132-197"
"81","Sedgwick",-24.12,"COLWICH",1998-04-20,374738097332202,173,26,c(-97.554982, 37.793876),"1998","71-0",-97.554982,37.793876,174.1762085,"132-197"
"82","Sedgwick",-25.06,"COLWICH",1998-07-20,374738097332202,173,26,c(-97.554982, 37.793876),"1998","71-0",-97.554982,37.793876,174.1762085,"132-197"
