"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Wichita",-140.44,"Selkirk SE",1988-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"1988","143-72",-101.544944,38.310697
"2","Wichita",-141.15,"Selkirk SE",1989-01-09,381840101324401,203,20,c(-101.544944, 38.310697),"1989","143-72",-101.544944,38.310697
"3","Wichita",-142.5,"Selkirk SE",1990-01-08,381840101324401,203,20,c(-101.544944, 38.310697),"1990","143-72",-101.544944,38.310697
"4","Wichita",-141.7,"Selkirk SE",1991-01-08,381840101324401,203,20,c(-101.544944, 38.310697),"1991","143-72",-101.544944,38.310697
"5","Wichita",-141.9,"Selkirk SE",1992-01-08,381840101324401,203,20,c(-101.544944, 38.310697),"1992","143-72",-101.544944,38.310697
"6","Wichita",-138.48,"Selkirk SE",1994-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"1994","143-72",-101.544944,38.310697
"7","Wichita",-138.97,"Selkirk SE",1995-01-09,381840101324401,203,20,c(-101.544944, 38.310697),"1995","143-72",-101.544944,38.310697
"8","Wichita",-139.22,"Selkirk SE",1996-01-08,381840101324401,203,20,c(-101.544944, 38.310697),"1996","143-72",-101.544944,38.310697
"9","Wichita",-138.49,"Selkirk SE",1997-01-06,381840101324401,203,20,c(-101.544944, 38.310697),"1997","143-72",-101.544944,38.310697
"10","Wichita",-138.37,"Selkirk SE",1998-01-12,381840101324401,203,20,c(-101.544944, 38.310697),"1998","143-72",-101.544944,38.310697
"11","Wichita",-138.44,"Selkirk SE",1999-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"1999","143-72",-101.544944,38.310697
"12","Wichita",-137.99,"Selkirk SE",2000-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"2000","143-72",-101.544944,38.310697
"13","Wichita",-138.25,"Selkirk SE",2001-01-02,381840101324401,203,20,c(-101.544944, 38.310697),"2001","143-72",-101.544944,38.310697
"14","Wichita",-139.22,"Selkirk SE",2002-01-02,381840101324401,203,20,c(-101.544944, 38.310697),"2002","143-72",-101.544944,38.310697
"15","Wichita",-141.5,"Selkirk SE",2002-12-26,381840101324401,203,20,c(-101.544944, 38.310697),"2002","143-72",-101.544944,38.310697
"16","Wichita",-132.26,"Selkirk SE",2004-01-02,381840101324401,203,20,c(-101.544944, 38.310697),"2004","143-72",-101.544944,38.310697
"17","Wichita",-139.33,"Selkirk SE",2005-01-10,381840101324401,203,20,c(-101.544944, 38.310697),"2005","143-72",-101.544944,38.310697
"18","Wichita",-139.42,"Selkirk SE",2006-01-07,381840101324401,203,20,c(-101.544944, 38.310697),"2006","143-72",-101.544944,38.310697
"19","Wichita",-139.48,"Selkirk SE",2007-04-03,381840101324401,203,20,c(-101.544944, 38.310697),"2007","143-72",-101.544944,38.310697
"20","Wichita",-140.47,"Selkirk SE",2008-01-06,381840101324401,203,20,c(-101.544944, 38.310697),"2008","143-72",-101.544944,38.310697
"21","Wichita",-139.47,"Selkirk SE",2009-01-06,381840101324401,203,20,c(-101.544944, 38.310697),"2009","143-72",-101.544944,38.310697
"22","Wichita",-140.05,"Selkirk SE",2010-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2010","143-72",-101.544944,38.310697
"23","Wichita",-139.44,"Selkirk SE",2011-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"2011","143-72",-101.544944,38.310697
"24","Wichita",-141.43,"Selkirk SE",2012-01-19,381840101324401,203,20,c(-101.544944, 38.310697),"2012","143-72",-101.544944,38.310697
"25","Wichita",-141.62,"Selkirk SE",2013-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2013","143-72",-101.544944,38.310697
"26","Wichita",-141.1,"Selkirk SE",2014-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2014","143-72",-101.544944,38.310697
"27","Wichita",-141.08,"Selkirk SE",2014-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2014","143-72",-101.544944,38.310697
"28","Wichita",-141.17,"Selkirk SE",2015-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2015","143-72",-101.544944,38.310697
"29","Wichita",-141.43,"Selkirk SE",2016-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"2016","143-72",-101.544944,38.310697
"30","Wichita",-140.03,"Selkirk SE",2017-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2017","143-72",-101.544944,38.310697
"31","Wichita",-139.57,"Selkirk SE",2018-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"2018","143-72",-101.544944,38.310697
"32","Wichita",-139.57,"Selkirk SE",2019-01-04,381840101324401,203,20,c(-101.544944, 38.310697),"2019","143-72",-101.544944,38.310697
"33","Wichita",-139.55,"Selkirk SE",2020-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"2020","143-72",-101.544944,38.310697
"34","Wichita",-139.63,"Selkirk SE",2021-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"2021","143-72",-101.544944,38.310697
"35","Wichita",-140.08,"Selkirk SE",2022-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"2022","143-72",-101.544944,38.310697
"36","Wichita",-140.06,"Selkirk SE",2022-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"2022","143-72",-101.544944,38.310697
"37","Wichita",-141.15,"Selkirk SE",2023-01-05,381840101324401,203,20,c(-101.544944, 38.310697),"2023","143-72",-101.544944,38.310697
"38","Wichita",-139.4,"Selkirk SE",2024-01-03,381840101324401,203,20,c(-101.544944, 38.310697),"2024","143-72",-101.544944,38.310697
"39","Wichita",-140.84,"Carwood Cemetery",1992-06-18,383241101250901,203,17,c(-101.42334, 38.544037),"1992","143-72",-101.42334,38.544037
"40","Wichita",-142.83,"Carwood Cemetery",1993-02-02,383241101250901,203,17,c(-101.42334, 38.544037),"1993","143-72",-101.42334,38.544037
"41","Wichita",-142.92,"Carwood Cemetery",1993-06-07,383241101250901,203,17,c(-101.42334, 38.544037),"1993","143-72",-101.42334,38.544037
"42","Wichita",-144.71,"Carwood Cemetery",1993-09-16,383241101250901,203,17,c(-101.42334, 38.544037),"1993","215-144",-101.42334,38.544037
"43","Wichita",-142.4,"Carwood Cemetery",1994-01-03,383241101250901,203,17,c(-101.42334, 38.544037),"1994","143-72",-101.42334,38.544037
"44","Wichita",-147.09,"Carwood Cemetery",1994-09-23,383241101250901,203,17,c(-101.42334, 38.544037),"1994","215-144",-101.42334,38.544037
"45","Wichita",-144.03,"Carwood Cemetery",1995-01-09,383241101250901,203,17,c(-101.42334, 38.544037),"1995","215-144",-101.42334,38.544037
"46","Wichita",-141.02,"Carwood Cemetery",1995-09-14,383241101250901,203,17,c(-101.42334, 38.544037),"1995","143-72",-101.42334,38.544037
"47","Wichita",-143.43,"Carwood Cemetery",1996-01-08,383241101250901,203,17,c(-101.42334, 38.544037),"1996","143-72",-101.42334,38.544037
