"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Barton",-9,"PAWNEE ROCK",1973-04-12,381616098534701,9,20,c(-98.899891, 38.271055),"1973","71-0",-98.899891,38.271055
"2","Barton",-9.25,"PAWNEE ROCK",1973-12-17,381616098534701,9,20,c(-98.899891, 38.271055),"1973","71-0",-98.899891,38.271055
"3","Barton",-29.33,"ELLINWOOD SW",1942-10-07,381945098420601,9,20,c(-98.701762, 38.328824),"1942","71-0",-98.701762,38.328824
"4","Barton",-29.34,"ELLINWOOD SW",1942-10-27,381945098420601,9,20,c(-98.701762, 38.328824),"1942","71-0",-98.701762,38.328824
"5","Barton",-29.38,"ELLINWOOD SW",1942-11-24,381945098420601,9,20,c(-98.701762, 38.328824),"1942","71-0",-98.701762,38.328824
"6","Barton",-29.41,"ELLINWOOD SW",1942-12-15,381945098420601,9,20,c(-98.701762, 38.328824),"1942","71-0",-98.701762,38.328824
"7","Barton",-28.57,"ELLINWOOD SW",1943-01-27,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"8","Barton",-29.55,"ELLINWOOD SW",1943-02-19,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"9","Barton",-28.19,"ELLINWOOD SW",1943-03-24,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"10","Barton",-28.55,"ELLINWOOD SW",1943-04-22,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"11","Barton",-27.93,"ELLINWOOD SW",1943-05-22,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"12","Barton",-27.11,"ELLINWOOD SW",1943-06-02,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"13","Barton",-28.48,"ELLINWOOD SW",1943-07-21,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"14","Barton",-28.23,"ELLINWOOD SW",1943-08-04,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"15","Barton",-28.42,"ELLINWOOD SW",1943-09-14,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"16","Barton",-28,"ELLINWOOD SW",1943-10-12,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"17","Barton",-28.16,"ELLINWOOD SW",1943-11-04,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"18","Barton",-28.61,"ELLINWOOD SW",1943-12-21,381945098420601,9,20,c(-98.701762, 38.328824),"1943","71-0",-98.701762,38.328824
"19","Barton",-28.78,"ELLINWOOD SW",1944-01-19,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"20","Barton",-29.9,"ELLINWOOD SW",1944-02-25,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"21","Barton",-29.07,"ELLINWOOD SW",1944-03-15,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"22","Barton",-29.16,"ELLINWOOD SW",1944-04-06,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"23","Barton",-29.07,"ELLINWOOD SW",1944-05-10,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"24","Barton",-29.42,"ELLINWOOD SW",1944-06-04,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"25","Barton",-29.56,"ELLINWOOD SW",1944-07-27,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"26","Barton",-29.53,"ELLINWOOD SW",1944-10-24,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"27","Barton",-29.82,"ELLINWOOD SW",1944-11-16,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"28","Barton",-29.66,"ELLINWOOD SW",1944-12-08,381945098420601,9,20,c(-98.701762, 38.328824),"1944","71-0",-98.701762,38.328824
"29","Barton",-29.7,"ELLINWOOD SW",1945-01-04,381945098420601,9,20,c(-98.701762, 38.328824),"1945","71-0",-98.701762,38.328824
"30","Barton",-29.76,"ELLINWOOD SW",1945-02-14,381945098420601,9,20,c(-98.701762, 38.328824),"1945","71-0",-98.701762,38.328824
