"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year","depth","lon","lat","sat","satcut"
"1","Gray",-69.3,"Montezuma NW",1965-01-28,374417100280401,69,0,c(-100.4666081, 37.7381505),"1965","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"2","Gray",-71.65,"Montezuma NW",1966-01-17,374417100280401,69,0,c(-100.4666081, 37.7381505),"1966","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"3","Gray",-69,"Montezuma NW",1967-01-24,374417100280401,69,0,c(-100.4666081, 37.7381505),"1967","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"4","Gray",-73.15,"Montezuma NW",1968-01-16,374417100280401,69,0,c(-100.4666081, 37.7381505),"1968","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"5","Gray",-65.8,"Montezuma NW",1969-01-20,374417100280401,69,0,c(-100.4666081, 37.7381505),"1969","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"6","Gray",-74.49,"Montezuma NW",1970-01-20,374417100280401,69,0,c(-100.4666081, 37.7381505),"1970","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"7","Gray",-73.19,"Montezuma NW",1971-01-21,374417100280401,69,0,c(-100.4666081, 37.7381505),"1971","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"8","Gray",-68.59,"Montezuma NW",1972-02-01,374417100280401,69,0,c(-100.4666081, 37.7381505),"1972","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"9","Gray",-73.27,"Montezuma NW",1972-06-07,374417100280401,69,0,c(-100.4666081, 37.7381505),"1972","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"10","Gray",-71.7,"Montezuma NW",1972-09-11,374417100280401,69,0,c(-100.4666081, 37.7381505),"1972","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"11","Gray",-71.94,"Montezuma NW",1972-12-06,374417100280401,69,0,c(-100.4666081, 37.7381505),"1972","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"12","Gray",-71.13,"Montezuma NW",1973-03-05,374417100280401,69,0,c(-100.4666081, 37.7381505),"1973","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"13","Gray",-74.41,"Montezuma NW",1973-09-07,374417100280401,69,0,c(-100.4666081, 37.7381505),"1973","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"14","Gray",-74.8,"Montezuma NW",1973-12-21,374417100280401,69,0,c(-100.4666081, 37.7381505),"1973","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"15","Gray",-67.23,"Montezuma NW",1974-01-24,374417100280401,69,0,c(-100.4666081, 37.7381505),"1974","71-0",-100.4666081,37.7381505,17.6435623,"0-65"
"16","Gray",-74.1,"Montezuma NW",1974-03-19,374417100280401,69,0,c(-100.4666081, 37.7381505),"1974","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"17","Gray",-76.18,"Montezuma NW",1974-06-04,374417100280401,69,0,c(-100.4666081, 37.7381505),"1974","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"18","Gray",-77.18,"Montezuma NW",1974-09-04,374417100280401,69,0,c(-100.4666081, 37.7381505),"1974","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
"19","Gray",-75.81,"Montezuma NW",1974-12-16,374417100280401,69,0,c(-100.4666081, 37.7381505),"1974","143-72",-100.4666081,37.7381505,17.6435623,"0-65"
