"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year","depth","lon","lat","sat","satcut"
"1","Scott",-56.22,"Shallow Water",1931-12-30,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"2","Scott",-56.32,"Shallow Water",1931-12-05,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"3","Scott",-56.3,"Shallow Water",1931-12-20,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"4","Scott",-56.33,"Shallow Water",1931-10-25,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"5","Scott",-56.32,"Shallow Water",1931-11-30,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"6","Scott",-56.29,"Shallow Water",1931-12-25,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"7","Scott",-56.33,"Shallow Water",1931-10-30,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"8","Scott",-56.37,"Shallow Water",1931-11-15,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"9","Scott",-56.32,"Shallow Water",1931-12-10,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"10","Scott",-56.33,"Shallow Water",1931-11-20,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"11","Scott",-56.36,"Shallow Water",1931-11-05,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"12","Scott",-56.37,"Shallow Water",1931-11-10,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"13","Scott",-56.34,"Shallow Water",1931-11-25,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
"14","Scott",-56.3,"Shallow Water",1931-12-15,382013100583901,171,0,c(-100.978934, 38.336792),"1931","71-0",-100.978934,38.336792,18.34902,"0-65"
